target,model,held_out_country,pr_auc_base,roc_auc_base,f1_base,recall_base,precision_base,balanced_accuracy_base,false_alarm_rate_base,missed_event_rate_base,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h3,xgboost,Indonesia,0.0829533559023834,0.3452464269123703,0.0,0.0,0.0,0.4589252096525757,0.0821495806948485,1.0,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.099244338050343,0.2894884795865975,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.04449037658876659,-0.0596440184836557,-0.029336734693877653
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Mexico,0.4836552431353927,0.7934259283056693,0.5064039408866995,0.4363327674023769,0.6032863849765259,0.703117407743931,0.0300979519145146,0.5636672325976231,0.5647643485518264,0.8959046983356186,0.5349056603773585,0.4813242784380305,0.6019108280254777,0.7239657901540109,0.0333926981300089,0.5186757215619694,0.08110910541643374,0.10247877002994932,0.02850171949065905,0.044991511035653575,-0.0013755569510481847,0.020848382410079802,0.003294746215494297,-0.044991511035653686
extreme_abs_151_h3,xgboost,Nigeria,0.8595231305146096,0.8858696584965255,0.7659002285867957,0.723209751142712,0.8139468419548442,0.8092231568716457,0.1047634373994206,0.276790248857288,0.8843703267686996,0.9126873687309396,0.7993799250742798,0.7856780091416963,0.8135682356034709,0.8357904046352189,0.1140971998712584,0.2143219908583037,0.024847196254090043,0.02681771023441404,0.033479696487484056,0.062468257998984256,-0.0003786063513733229,0.02656724776357322,0.0093337624718378,-0.06246825799898428
extreme_abs_151_h3,xgboost,Pakistan,0.965007152300184,0.8672637197406547,0.8074993729621269,0.7053346478256107,0.944273353864203,0.7581399607287258,0.1890547263681592,0.2946653521743893,0.9688713117622846,0.8798297372813878,0.8315544105017789,0.7424690546609706,0.944932385333891,0.7729758208628236,0.1965174129353233,0.2575309453390295,0.0038641594621006137,0.012566017540733054,0.02405503753965199,0.037134406835359846,0.0006590314696880428,0.014835860134097767,0.00746268656716409,-0.03713440683535979
extreme_abs_151_h3,xgboost,Philippines,0.034039539320621,0.8769901661520879,0.0098039215686274,0.0072463768115942,0.0151515151515151,0.5019887084218905,0.0032689599678133,0.9927536231884058,0.0497557408069582,0.9065392683360592,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,0.0157162014863372,0.029549102183971332,-0.0098039215686274,-0.0072463768115942,-0.0151515151515151,-0.0020892918055154808,-0.0030677932005633,0.007246376811594235
extreme_abs_151_h3,xgboost,Russia,0.7194396536189839,0.9249765207027651,0.6462018730489074,0.5119538334707338,0.8758815232722144,0.7518380774916457,0.0082776784874423,0.4880461665292663,0.7822014502178402,0.9536088170334808,0.6513089005235602,0.5127782357790602,0.8923959827833573,0.7528616980795404,0.0070548396199793,0.4872217642209398,0.06276179659885628,0.028632296330715623,0.005107027474652748,0.0008244023083264773,0.016514459511142943,0.0010236205878947358,-0.0012228388674630003,-0.0008244023083264773
extreme_abs_151_h3,xgboost,Saudi Arabia,0.0138372723251911,0.5170453164690864,0.0,0.0,0.0,0.4998084474667177,0.0003831050665645,1.0,0.0181822701394581,0.5675487136675592,0.0,0.0,0.0,0.5,0.0,1.0,0.0043449978142670025,0.050503397198472855,0.0,0.0,0.0,0.00019155253328229094,-0.0003831050665645,0.0
extreme_abs_151_h3,xgboost,South Africa,0.0166592002571833,0.8306800924294538,0.0,0.0,0.0,0.5,0.0,1.0,0.0420644860467548,0.923755055710263,0.0,0.0,0.0,0.5,0.0,1.0,0.025405285789571498,0.09307496328080911,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,South Korea,0.0244346023346427,0.7017170752849772,0.0,0.0,0.0,0.4999592867030372,8.14265939255761e-05,1.0,0.0524454066273345,0.8621922219009326,0.0,0.0,0.0,0.4999592867030372,8.14265939255761e-05,1.0,0.028010804292691798,0.1604751466159554,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Thailand,0.0419938221929304,0.9302035341931773,0.0,0.0,0.0,0.4989667286629469,0.0020665426741062,1.0,0.0525012273762282,0.9491326598835442,0.0,0.0,0.0,0.4995350278983261,0.0009299442033477,1.0,0.010507405183297798,0.018929125690366977,0.0,0.0,0.0,0.0005682992353792105,-0.0011365984707584998,0.0
extreme_abs_151_h3,xgboost,Turkey,0.1967338424137143,0.7912542370008814,0.0802292263610315,0.0466666666666666,0.2857142857142857,0.5197742525930446,0.0071181614805775,0.9533333333333334,0.2602479389762805,0.8445574876279575,0.1054216867469879,0.0583333333333333,0.546875,0.5276921903599756,0.0029489526133821,0.9416666666666668,0.06351409656256621,0.05330325062707608,0.025192460385956406,0.0116666666666667,0.2611607142857143,0.00791793776693106,-0.0041692088671954,-0.011666666666666603
extreme_abs_151_h3,xgboost,United Kingdom,0.0010869565217391,0.9107073455110768,0.0,0.0,0.0,0.5,0.0,1.0,0.0011337868480725,0.9143995336183444,0.0,0.0,0.0,0.5,0.0,1.0,4.683032633339985e-05,0.003692188107267569,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,United States,0.0049875486793985,0.8454780980126938,0.0,0.0,0.0,0.5,0.0,1.0,0.0171443953030203,0.9077749453750912,0.0,0.0,0.0,0.5,0.0,1.0,0.012156846623621799,0.06229684736239738,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Vietnam,0.3570102831231346,0.8189487794805261,0.0651162790697674,0.0341047503045067,0.717948717948718,0.5164965388713034,0.0011116725618999,0.9658952496954932,0.439564785731255,0.8690467940168357,0.2648221343873518,0.1632155907429963,0.7015706806282722,0.5787275528247574,0.0057604850934815,0.8367844092570037,0.08255450260812042,0.050098014536309576,0.1997058553175844,0.12911084043848958,-0.016378037320445737,0.062231013953453984,0.0046488125315816,-0.12911084043848953
extreme_abs_151_h1,random_forest,Australia,0.00027616680475,0.6556332630772179,0.0,0.0,0.0,0.4999520981030849,9.580379383023568e-05,1.0,9.579461634256155e-05,0.307721785782717,0.0,0.0,0.0,0.4999520981030849,9.580379383023568e-05,1.0,-0.00018037218840743843,-0.34791147729450095,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,random_forest,Bangladesh,0.9585512074714392,0.9114653094026252,0.8799902629016553,0.968390034824538,0.8063796564800357,0.7290509844904582,0.5102880658436214,0.031609965175462,0.9589130917195784,0.9137884019941942,0.8821994295077987,0.9734797749799088,0.806569748085673,0.7305670479837816,0.5123456790123457,0.026520225020091,0.0003618842481392104,0.0023230925915690426,0.0022091666061434534,0.005089740155370781,0.00019009160563732141,0.0015160634933233386,0.002057613168724326,-0.005089740155371003
extreme_abs_151_h1,random_forest,Brazil,0.3549424764063571,0.8304159578439112,0.4663461538461538,0.5127753303964758,0.4276267450404115,0.7219369310747636,0.0689014682469485,0.4872246696035242,0.4178748239011386,0.8767649004738819,0.4712788259958071,0.4951541850220264,0.4496,0.7171507702042734,0.0608526446134795,0.5048458149779735,0.0629323474947815,0.04634894262997069,0.004932672149653317,-0.01762114537444942,0.021973254959588517,-0.004786160870490219,-0.008048823633468996,0.017621145374449365
extreme_abs_151_h1,random_forest,China,0.5997979726077178,0.935793064416071,0.3851839265992693,0.9973603167619886,0.2386818277532112,0.8142723240445666,0.3688156686728552,0.0026396832380114,0.6128058508168085,0.938372565138149,0.3682164263729143,1.0,0.2256527350342499,0.8010813016423544,0.3978373967152912,0.0,0.013007878209090662,0.002579500722078021,-0.016967500226355015,0.0026396832380114477,-0.0130290927189613,-0.01319102240221226,0.029021728042436024,-0.0026396832380114
extreme_abs_151_h1,random_forest,Egypt,0.433863578823167,0.6415040913739662,0.5070861236567513,0.6470588235294118,0.4169014084507042,0.5986627319306155,0.4497333596681809,0.3529411764705882,0.4410030819297319,0.6489698793610681,0.5151491907647465,0.6673290937996821,0.4194878201124297,0.6042057280177553,0.4589176377641714,0.332670906200318,0.007139503106564915,0.007465787987101846,0.008063067107995203,0.020270270270270285,0.002586411661725463,0.005542996087139818,0.009184278095990484,-0.02027027027027023
extreme_abs_151_h1,random_forest,Ethiopia,0.5332099839506457,0.9269343746357384,0.5456431535269709,0.6352657004830918,0.4781818181818182,0.7868553703487845,0.0615549597855227,0.3647342995169082,0.5426786601854996,0.9319766613565424,0.5606608156943728,0.6557971014492754,0.4896302975653742,0.7975500252554688,0.0606970509383378,0.3442028985507246,0.009468676234853923,0.00504228672080409,0.015017662167401857,0.020531400966183555,0.011448479383555976,0.010694654906684309,-0.0008579088471849031,-0.02053140096618361
extreme_abs_151_h1,random_forest,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,random_forest,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,random_forest,India,0.8929748760676951,0.9407638114432726,0.813778256189451,0.9187145557655956,0.7303563761270931,0.8630604136644431,0.1925937284367093,0.0812854442344045,0.8993020192541792,0.9435630341642548,0.8162580181044302,0.9192546583850932,0.7340161725067386,0.8650555282265111,0.1891436019320708,0.0807453416149068,0.0063271431864840855,0.0027992227209822085,0.0024797619149792283,0.0005401026194976621,0.003659796379645419,0.0019951145620680233,-0.0034501265046384955,-0.0005401026194976899
extreme_abs_151_h1,random_forest,Indonesia,0.2693545091141126,0.7051210327486225,0.3516237402015677,0.4005102040816326,0.313373253493014,0.6423133806326977,0.1158834428162371,0.5994897959183674,0.2995552277606372,0.7446628695692527,0.3542673107890499,0.350765306122449,0.357839947950553,0.6338212584174651,0.0831227892875189,0.6492346938775511,0.030200718646524627,0.03954183682063017,0.002643570587482158,-0.04974489795918363,0.044466694457539035,-0.008492122215232656,-0.032760653528718195,0.04974489795918369
extreme_abs_151_h1,random_forest,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h1,random_forest,Mexico,0.6067048220351441,0.902472170698625,0.6172125883108542,0.796849087893864,0.5036687631027253,0.8568091458101769,0.0832307962735102,0.2031509121061359,0.6258793728719824,0.9188003411780378,0.6259295182670547,0.802653399668325,0.5129835718071012,0.860941746415284,0.080769906837757,0.1973466003316749,0.019174550836838278,0.016328170479412818,0.008716929956200437,0.005804311774461057,0.009314808704375843,0.004132600605107117,-0.0024608894357531913,-0.005804311774461002
extreme_abs_151_h1,random_forest,Nigeria,0.8672387705191863,0.9095995822727492,0.7746463894501755,0.9057448395921412,0.6767001114827201,0.8142270014693773,0.2772908366533864,0.0942551604078587,0.8697591739504577,0.9133255587448764,0.7826272999572101,0.9097239492663516,0.6866904449033226,0.8218739268244108,0.2659760956175299,0.0902760507336483,0.0025204034312713564,0.003725976472127246,0.007980910507034644,0.003979109674210335,0.009990333420602515,0.007646925355033529,-0.011314741035856501,-0.00397910967421039
extreme_abs_151_h1,random_forest,Pakistan,0.9740006523860508,0.900593333209913,0.9371644767114884,0.9887798036465638,0.89067055393586,0.7170230379179565,0.5547337278106509,0.0112201963534361,0.975830474083133,0.9050354589102442,0.9373082429944772,0.9887798036465638,0.8909303003791192,0.7177626828883706,0.5532544378698225,0.0112201963534361,0.0018298216970821235,0.004442125700331201,0.0001437662829888442,0.0,0.00025974644325921226,0.0007396449704141217,-0.0014792899408283544,0.0
