target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,temperature,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h3,xgboost,Bangladesh,0.951306421729062,0.900205638144163,0.876285868976719,0.8830991679170646,0.8695768972464741,0.7981227006498174,0.2868537666174298,0.1169008320829354,0.9521289225750916,0.900514256550409,0.8740300924364078,0.8835083890328741,0.8647530040053405,0.7921234707350486,0.2992614475627769,0.1164916109671259,local,1.0,country_environmental_similarity,0.000822500846029639,0.00030861840624596404,-0.002255776540311172,0.0004092211158095438,-0.004823893241133637,-0.0059992299147687556,0.01240768094534711,-0.00040922111580950216
extreme_abs_151_h3,xgboost,Brazil,0.3460429097512201,0.8378020422926485,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.518332948154386,0.0038627380524613,0.9594713656387666,0.3564990768107463,0.8519510368964497,0.0783373301358912,0.0431718061674008,0.4224137931034483,0.5185765606474805,0.0060186848724398,0.9568281938325992,local,1.0,country_environmental_similarity,0.010456167059526178,0.014148994603801146,0.003173931443080799,0.0026431718061674034,-0.09444013948082142,0.00024361249309445832,0.0021559468199784998,-0.002643171806167355
extreme_abs_151_h3,xgboost,China,0.6150107489381027,0.9298201617287384,0.4995654872749844,0.908352144469526,0.3445205479452055,0.8553022216303616,0.1977477012088025,0.091647855530474,0.6064867369827576,0.9292409132242035,0.5034203192297948,0.8970654627539504,0.3498855432294418,0.8531716403551755,0.1907221820435995,0.1029345372460496,local,1.0,country_environmental_similarity,-0.008524011955345134,-0.000579248504534835,0.0038548319548104004,-0.011286681715575564,0.00536499528423634,-0.002130581275186172,-0.007025519165202998,0.011286681715575606
extreme_abs_151_h3,xgboost,Egypt,0.4042492923142619,0.6238116284925873,0.2296663540131314,0.1725734997986306,0.34321185422507,0.5041224212420007,0.1643286573146292,0.8274265002013693,0.4002574793821123,0.6163139609868146,0.2145242070116861,0.1552557390253725,0.346984698469847,0.5049324787311231,0.1453907815631262,0.8447442609746275,local,1.0,country_environmental_similarity,-0.003991812932149563,-0.007497667505772743,-0.01514214700144531,-0.017317760773258084,0.003772844244776974,0.0008100574891224399,-0.01893787575150299,0.017317760773258195
extreme_abs_151_h3,xgboost,Ethiopia,0.4182210648368007,0.9020899678330312,0.3788187372708758,0.3500627352572145,0.4127218934911242,0.6534880639602765,0.0430866073366616,0.6499372647427855,0.4458875772050951,0.9089619772867592,0.3913669064748201,0.3412797992471769,0.4586846543001686,0.6532207548439054,0.0348382895593661,0.6587202007528231,local,1.0,country_environmental_similarity,0.02766651236829437,0.006872009453728012,0.012548169203944304,-0.0087829360100376,0.04596276080904438,-0.0002673091163710728,-0.008248317777295504,0.008782936010037656
extreme_abs_151_h3,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,India,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.899674738833969,0.9424037675906866,0.7833058594335381,0.7183892248488181,0.8611202635914332,0.8264872328946504,0.0654147590595173,0.281610775151182,local,1.0,country_environmental_similarity,0.0009158572988077207,0.00021063114133779148,-0.007579844351834897,-0.02102803738317749,0.011064962596015304,-0.006401347006945279,-0.008225343369286903,0.0210280373831776
extreme_abs_151_h3,xgboost,Indonesia,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.2152010264375664,0.6626357917375405,0.0790774299835255,0.0459183673469387,0.2845849802371542,0.5152148742433821,0.0154886188601745,0.9540816326530612,local,1.0,country_environmental_similarity,0.03300333248484,0.027900885238572704,0.030063045327159005,0.0165816326530612,0.13571766632129656,0.011799288002039776,-0.007016943351018299,-0.016581632653061118
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,1.0,country_environmental_similarity,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Mexico,0.5647643485518264,0.8959046983356186,0.5349056603773585,0.4813242784380305,0.6019108280254777,0.7239657901540109,0.0333926981300089,0.5186757215619694,0.570393085208729,0.9029988041369904,0.5400885391047713,0.466044142614601,0.6421052631578947,0.719397850470257,0.0272484416740872,0.533955857385399,local,1.0,country_environmental_similarity,0.005628736656902555,0.0070941058013718195,0.005182878727412743,-0.01528013582342952,0.04019443513241705,-0.004567939683753908,-0.006144256455921697,0.015280135823429575
extreme_abs_151_h3,xgboost,Nigeria,0.8843703267686996,0.9126873687309396,0.7993799250742798,0.7856780091416963,0.8135682356034709,0.8357904046352189,0.1140971998712584,0.2143219908583037,0.88315674545899,0.9113575351975576,0.7949452840020844,0.7747587607922803,0.8162118780096308,0.8321009767913767,0.1105568072095268,0.2252412392077196,local,1.0,country_environmental_similarity,-0.0012135813097096104,-0.0013298335333820077,-0.004434641072195378,-0.010919248349415933,0.002643642406159885,-0.0036894278438421857,-0.0035403926617315895,0.010919248349415905
extreme_abs_151_h3,xgboost,Pakistan,0.9688713117622846,0.8798297372813878,0.8315544105017789,0.7424690546609706,0.944932385333891,0.7729758208628236,0.1965174129353233,0.2575309453390295,0.968057199830376,0.8778444833560317,0.818950509823427,0.7214371782232446,0.9469446441409058,0.7689275443355029,0.1835820895522388,0.2785628217767554,local,1.0,country_environmental_similarity,-0.0008141119319086121,-0.0019852539253560897,-0.012603900678351931,-0.02103187643772597,0.002012258807014833,-0.004048276527320649,-0.012935323383084507,0.021031876437725916
extreme_abs_151_h3,xgboost,Philippines,0.0497557408069582,0.9065392683360592,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,0.0475973378350355,0.9019100638777372,0.0,0.0,0.0,0.499899416616375,0.00020116676725,1.0,local,1.0,country_environmental_similarity,-0.002158402971922699,-0.004629204458322045,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Russia,0.7822014502178402,0.9536088170334808,0.6513089005235602,0.5127782357790602,0.8923959827833573,0.7528616980795404,0.0070548396199793,0.4872217642209398,0.7901775048200482,0.9587832966523032,0.6524231370505471,0.516075845012366,0.886685552407932,0.7542753413755274,0.0075251622613112,0.4839241549876339,local,1.0,country_environmental_similarity,0.007976054602208071,0.005174479618822447,0.0011142365269869448,0.0032976092333057982,-0.0057104303754252905,0.0014136432959870326,0.00047032264133190036,-0.0032976092333059093
extreme_abs_151_h3,xgboost,Saudi Arabia,0.0181822701394581,0.5675487136675592,0.0,0.0,0.0,0.5,0.0,1.0,0.0191203059307244,0.5889875876817425,0.0,0.0,0.0,0.4999521118666794,9.577626664112632e-05,1.0,local,1.0,country_environmental_similarity,0.0009380357912662993,0.021438874014183318,0.0,0.0,0.0,-4.7888133320572734e-05,9.577626664112632e-05,0.0
extreme_abs_151_h3,xgboost,South Africa,0.0420644860467548,0.923755055710263,0.0,0.0,0.0,0.5,0.0,1.0,0.0521783354106323,0.935062383644602,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,0.010113849363877499,0.011307327934339084,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,South Korea,0.0524454066273345,0.8621922219009326,0.0,0.0,0.0,0.4999592867030372,8.14265939255761e-05,1.0,0.0394836218677616,0.8445790725959761,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,-0.012961784759572895,-0.0176131493049565,0.0,0.0,0.0,4.071329696281323e-05,-8.14265939255761e-05,0.0
extreme_abs_151_h3,xgboost,Thailand,0.0525012273762282,0.9491326598835442,0.0,0.0,0.0,0.4995350278983261,0.0009299442033477,1.0,0.0711663291928393,0.952092678360867,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,0.0186651018166111,0.0029600184773227456,0.0,0.0,0.0,0.00046497210167389946,-0.0009299442033477,0.0
extreme_abs_151_h3,xgboost,Turkey,0.2602479389762805,0.8445574876279575,0.1054216867469879,0.0583333333333333,0.546875,0.5276921903599756,0.0029489526133821,0.9416666666666668,0.2568856813146951,0.8425654192936072,0.0886850152905198,0.0483333333333333,0.5370370370370371,0.5228955664022777,0.0025422005287777,0.9516666666666668,local,1.0,country_environmental_similarity,-0.0033622576615854327,-0.001992068334350283,-0.016736671456468108,-0.010000000000000002,-0.00983796296296291,-0.004796623957697865,-0.0004067520846043997,0.010000000000000009
extreme_abs_151_h3,xgboost,United Kingdom,0.0011337868480725,0.9143995336183444,0.0,0.0,0.0,0.5,0.0,1.0,0.0025380710659898,0.9618150019432568,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,0.0014042842179172999,0.04741546832491239,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,United States,0.0171443953030203,0.9077749453750912,0.0,0.0,0.0,0.5,0.0,1.0,0.0203297875033574,0.9095838102174592,0.0,0.0,0.0,0.5,0.0,1.0,local,1.0,country_environmental_similarity,0.0031853922003370998,0.0018088648423679743,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Vietnam,0.439564785731255,0.8690467940168357,0.2648221343873518,0.1632155907429963,0.7015706806282722,0.5787275528247574,0.0057604850934815,0.8367844092570037,0.4616636717811866,0.869794720324676,0.2277951933124347,0.1327649208282582,0.8014705882352942,0.565018134997252,0.0027286508337544,0.8672350791717418,local,1.0,country_environmental_similarity,0.0220988860499316,0.0007479263078402631,-0.03702694107491711,-0.030450669914738104,0.09989990760702194,-0.013709417827505455,-0.0030318342597271002,0.030450669914738104
