target,model,regime,threshold,precision,recall
extreme_abs_151_h3,xgboost,local_features,0.02,0.339469409853817,0.9687931639939131
extreme_abs_151_h3,xgboost,local_features,0.03,0.37990867579908677,0.9544188224277186
extreme_abs_151_h3,xgboost,local_features,0.04,0.41081352150730216,0.9397401381247805
extreme_abs_151_h3,xgboost,local_features,0.05,0.4353919894220704,0.9250614538218425
extreme_abs_151_h3,xgboost,local_features,0.06,0.4568793560650506,0.911576729486129
extreme_abs_151_h3,xgboost,local_features,0.07,0.47504985075735995,0.8979515392719185
extreme_abs_151_h3,xgboost,local_features,0.08,0.4917783665835411,0.8864099262554138
extreme_abs_151_h3,xgboost,local_features,0.09,0.5057240790668057,0.8738850520894299
extreme_abs_151_h3,xgboost,local_features,0.1,0.5179477092962812,0.8630925904249093
extreme_abs_151_h3,xgboost,local_features,0.11,0.5288242382010075,0.8527917593351282
extreme_abs_151_h3,xgboost,local_features,0.12,0.5383130583112627,0.8422334074681025
extreme_abs_151_h3,xgboost,local_features,0.13,0.5471767801905231,0.832377384993562
extreme_abs_151_h3,xgboost,local_features,0.14,0.5552818569398389,0.8232705138710055
extreme_abs_151_h3,xgboost,local_features,0.15,0.5633269709812041,0.8153107807561747
extreme_abs_151_h3,xgboost,local_features,0.16,0.570106279235054,0.8074915135198408
extreme_abs_151_h3,xgboost,local_features,0.17,0.5769204783460578,0.799625424324008
extreme_abs_151_h3,xgboost,local_features,0.18,0.5834783657574139,0.7927191852979047
extreme_abs_151_h3,xgboost,local_features,0.19,0.5896408742708553,0.7856724803933045
extreme_abs_151_h3,xgboost,local_features,0.2,0.595384202522587,0.7790939950836943
extreme_abs_151_h3,xgboost,local_features,0.21,0.6013518437545547,0.7727262085918296
extreme_abs_151_h3,xgboost,local_features,0.22,0.6065926324181019,0.7659838464239729
extreme_abs_151_h3,xgboost,local_features,0.23,0.6122599008501254,0.7604120332435912
extreme_abs_151_h3,xgboost,local_features,0.24,0.6176791769641934,0.7547933981037106
extreme_abs_151_h3,xgboost,local_features,0.25,0.6227821011673151,0.7494088727613251
extreme_abs_151_h3,xgboost,local_features,0.26,0.6282510235161488,0.7436497717429474
extreme_abs_151_h3,xgboost,local_features,0.27,0.6331646179802362,0.7380077256233173
extreme_abs_151_h3,xgboost,local_features,0.28,0.6378927195253726,0.7324827344024347
extreme_abs_151_h3,xgboost,local_features,0.29,0.6422350483046815,0.7267938663233057
extreme_abs_151_h3,xgboost,local_features,0.3,0.6469970380018066,0.721034765304928
extreme_abs_151_h3,xgboost,local_features,0.31,0.6514000341471743,0.7145499239143158
extreme_abs_151_h3,xgboost,local_features,0.32,0.6561438431745894,0.7099379609036638
extreme_abs_151_h3,xgboost,local_features,0.33,0.6601807572500329,0.7045534355612783
extreme_abs_151_h3,xgboost,local_features,0.34,0.6644135630906058,0.6995668968746342
extreme_abs_151_h3,xgboost,local_features,0.35,0.6686808107681554,0.6943228374107456
extreme_abs_151_h3,xgboost,local_features,0.36,0.6727131499588779,0.6893597097038511
extreme_abs_151_h3,xgboost,local_features,0.37,0.6766339566746898,0.6844434039564555
extreme_abs_151_h3,xgboost,local_features,0.38,0.6806513679665869,0.679105700573569
extreme_abs_151_h3,xgboost,local_features,0.39,0.6848738496658978,0.674259627765422
extreme_abs_151_h3,xgboost,local_features,0.4,0.6890764408005787,0.668992157321784
extreme_abs_151_h3,xgboost,local_features,0.41,0.693587860988742,0.6634671661009013
extreme_abs_151_h3,xgboost,local_features,0.42,0.6975006825345611,0.6579187639002693
extreme_abs_151_h3,xgboost,local_features,0.43,0.7015030412707988,0.6534004448086153
extreme_abs_151_h3,xgboost,local_features,0.44,0.7052827399913356,0.6479222755472317
extreme_abs_151_h3,xgboost,local_features,0.45,0.7085442711023866,0.6422099964883531
extreme_abs_151_h3,xgboost,local_features,0.46,0.7121136785910555,0.6370595809434625
extreme_abs_151_h3,xgboost,local_features,0.47,0.7167206499230074,0.6320028093175699
extreme_abs_151_h3,xgboost,local_features,0.48,0.720271434726411,0.6261968863396933
extreme_abs_151_h3,xgboost,local_features,0.49,0.7250928555822591,0.6215615123492918
extreme_abs_151_h3,xgboost,local_features,0.5,0.7298233940502925,0.6162706309259043
extreme_abs_151_h3,xgboost,local_features,0.51,0.7344303797468354,0.6112372702797612
extreme_abs_151_h3,xgboost,local_features,0.52,0.7388549574747417,0.6060634437551211
extreme_abs_151_h3,xgboost,local_features,0.53,0.742567665364018,0.6005384525342385
extreme_abs_151_h3,xgboost,local_features,0.54,0.7470636598543575,0.595622146786843
extreme_abs_151_h3,xgboost,local_features,0.55,0.7507521820727456,0.5900035116469624
extreme_abs_151_h3,xgboost,local_features,0.56,0.755985350646206,0.5847360412033243
extreme_abs_151_h3,xgboost,local_features,0.57,0.7601611018877206,0.5788364743064497
extreme_abs_151_h3,xgboost,local_features,0.58,0.7647022100137345,0.5735221819033126
extreme_abs_151_h3,xgboost,local_features,0.59,0.7688431061806656,0.5678801357836826
extreme_abs_151_h3,xgboost,local_features,0.6,0.7737872833859435,0.562401966522299
extreme_abs_151_h3,xgboost,local_features,0.61,0.7793250327653998,0.5568301533419173
extreme_abs_151_h3,xgboost,local_features,0.62,0.7839837371280035,0.5507432986070467
extreme_abs_151_h3,xgboost,local_features,0.63,0.7882177479492916,0.5443989230949315
extreme_abs_151_h3,xgboost,local_features,0.64,0.7928366663212794,0.5373990401498303
extreme_abs_151_h3,xgboost,local_features,0.65,0.7982422218316049,0.5315697061922041
extreme_abs_151_h3,xgboost,local_features,0.66,0.803644956854882,0.525459440477584
extreme_abs_151_h3,xgboost,local_features,0.67,0.8089953271028038,0.5187873112489758
extreme_abs_151_h3,xgboost,local_features,0.68,0.8143144260830728,0.5122088259393656
extreme_abs_151_h3,xgboost,local_features,0.69,0.8194571167883211,0.5046236685005268
extreme_abs_151_h3,xgboost,local_features,0.7,0.8250513984250747,0.49792812829216904
extreme_abs_151_h3,xgboost,local_features,0.71,0.8309825673534073,0.49102188926606577
extreme_abs_151_h3,xgboost,local_features,0.72,0.8352479572850093,0.48341332084747746
extreme_abs_151_h3,xgboost,local_features,0.73,0.8404590272599222,0.47493854617815756
extreme_abs_151_h3,xgboost,local_features,0.74,0.8450387826897808,0.4667447032658317
extreme_abs_151_h3,xgboost,local_features,0.75,0.8507404351413558,0.4586210932927543
extreme_abs_151_h3,xgboost,local_features,0.76,0.8563402889245586,0.44963127706894535
extreme_abs_151_h3,xgboost,local_features,0.77,0.8617536801682363,0.4412969682781224
extreme_abs_151_h3,xgboost,local_features,0.78,0.867236279986855,0.43247102891256
extreme_abs_151_h3,xgboost,local_features,0.79,0.8728764478764479,0.42341097974950254
extreme_abs_151_h3,xgboost,local_features,0.8,0.8787939098417753,0.4134847243357134
extreme_abs_151_h3,xgboost,local_features,0.81,0.883741213893592,0.40325412618518086
extreme_abs_151_h3,xgboost,local_features,0.82,0.8890239391217037,0.3938429123258808
extreme_abs_151_h3,xgboost,local_features,0.83,0.8937714940771876,0.38330797143860473
extreme_abs_151_h3,xgboost,local_features,0.84,0.9003621138395383,0.37253892075383355
extreme_abs_151_h3,xgboost,local_features,0.85,0.9074498735814664,0.36130165047407237
extreme_abs_151_h3,xgboost,local_features,0.86,0.9134644848930563,0.348940653166335
extreme_abs_151_h3,xgboost,local_features,0.87,0.9188913015710819,0.33683717663584223
extreme_abs_151_h3,xgboost,local_features,0.88,0.9250284490260392,0.3235163291583753
extreme_abs_151_h3,xgboost,local_features,0.89,0.9319862000985707,0.3098911389441648
extreme_abs_151_h3,xgboost,local_features,0.9,0.936988543371522,0.2948612899449842
