split_name,target,held_out_country,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,feature_set,n_features
,extreme_abs_151_h1,Ethiopia,xgboost,boosting,test,10153,828,0.081552250566335,0.9231754161331626,0.6362833663597156,0.5547945205479452,0.2934782608695652,0.3838862559241706,0.6714599346847744,9130,195,585,243,0.020911528150134,0.7065217391304348,0.9327474064576292,0.5250602574426408,all_plus_local_normalization,91.0
,extreme_abs_151_h1,France,xgboost,boosting,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Germany,xgboost,boosting,test,10439,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439,0,0,0,0.0,0.0,,,all_plus_local_normalization,91.0
,extreme_abs_151_h1,India,xgboost,boosting,test,20449,7406,0.3621692992322363,0.8742725805662869,0.8595416511027765,0.840253342716397,0.8061031596003241,0.822824064502791,0.8626948609170263,11908,1135,1436,5970,0.0870198573947711,0.1938968403996759,0.9520300423437884,0.9181979073372356,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Indonesia,xgboost,boosting,test,13442,1568,0.1166493081386698,0.8794822199077518,0.5454145655230258,0.4343434343434343,0.1096938775510204,0.175152749490835,0.5550723619043261,11650,224,1396,172,0.0188647465049688,0.8903061224489796,0.7469552215782725,0.3012676002605891,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Japan,xgboost,boosting,test,22594,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594,0,0,0,0.0,0.0,,,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Mexico,xgboost,boosting,test,12584,1206,0.0958359821996185,0.9271296884933248,0.776972858214348,0.6270888302550571,0.5912106135986733,0.6086214255228339,0.7842230895412636,10954,424,493,713,0.0372648971699771,0.4087893864013267,0.9230134701776754,0.6296423695269641,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Nigeria,xgboost,boosting,test,10296,4021,0.3905400155400155,0.8526612276612276,0.8424974659927809,0.8211903540277066,0.7960706291967172,0.8084354085111757,0.8443660511347798,5578,697,820,3201,0.1110756972111553,0.2039293708032827,0.9267399538875092,0.8941150990082146,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Pakistan,xgboost,boosting,test,11297,9269,0.8204833141542003,0.8341152518367708,0.8053042814343925,0.9419146647543922,0.8502535332829863,0.893740077114992,0.7578825435998517,1542,486,1388,7881,0.2396449704142011,0.1497464667170137,0.9060630140169464,0.976860154858156,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Philippines,xgboost,boosting,test,20306,142,0.0069930069930069,0.9927607603663942,0.5033723467565959,0.1428571428571428,0.0070422535211267,0.0134228187919463,0.5048949350861098,20158,6,141,1,0.0002975600079349,0.9929577464788732,0.9104752997253508,0.0664000025992027,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Russia,xgboost,boosting,test,12012,1231,0.1024808524808524,0.9555444555444556,0.8352735816862277,0.8530901722391084,0.6839967506092608,0.7592425608656447,0.8673769440116539,10636,145,389,842,0.0134495872368054,0.3160032493907392,0.962801619209894,0.8298457867627407,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Saudi Arabia,xgboost,boosting,test,10725,135,0.0125874125874125,0.9872261072261072,0.4999055712936733,0.0,0.0,0.0,0.496785999155445,10588,2,135,0,0.0001888574126534,1.0,0.6670590704018466,0.0268027853762846,all_plus_local_normalization,91.0
,extreme_abs_151_h1,South Africa,xgboost,boosting,test,10725,61,0.0056876456876456,0.9943123543123544,0.5,0.0,0.0,0.0,0.4985740333816447,10664,0,61,0,0.0,1.0,0.9383201333120166,0.1203574469173285,all_plus_local_normalization,91.0
,extreme_abs_151_h1,South Korea,xgboost,boosting,test,12584,130,0.0103305785123966,0.9896694214876032,0.5,0.0,0.0,0.0,0.4974039460020768,12454,0,130,0,0.0,1.0,0.8965343232325728,0.0931839314313362,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Thailand,xgboost,boosting,test,9867,51,0.005168744299179,0.9945272119185162,0.4998471882640586,0.0,0.0,0.0,0.4986280487804878,9813,3,51,0,0.0003056234718826,1.0,0.9517574348402768,0.0590434933433061,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Turkey,xgboost,boosting,test,10582,611,0.0577395577395577,0.9429219429219428,0.5295420549380437,0.5507246376811594,0.0621931260229132,0.1117647058823529,0.541139138725203,9940,31,573,38,0.0031090161468257,0.9378068739770868,0.867696844580872,0.2925069958904552,all_plus_local_normalization,91.0
,extreme_abs_151_h1,United Kingdom,xgboost,boosting,test,10439,1,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438,0,1,0,0.0,1.0,0.8888675991569267,0.0008613264427217,all_plus_local_normalization,91.0
,extreme_abs_151_h1,United States,xgboost,boosting,test,27885,35,0.0012551551013089,0.9987448448986912,0.5,0.0,0.0,0.0,0.4996860141742172,27850,0,35,0,0.0,1.0,0.9387760964349832,0.0408788587989063,all_plus_local_normalization,91.0
,extreme_abs_151_h1,Vietnam,xgboost,boosting,test,10868,838,0.0771071034228929,0.929793890320206,0.5879472560837773,0.6609442060085837,0.1837708830548926,0.2875816993464052,0.6253296834501201,9951,79,684,154,0.0078763708873379,0.8162291169451074,0.8616604839419689,0.4330136460211443,all_plus_local_normalization,91.0
