target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,country_class_balanced,0.42,325005,42715,58427,34086,24341,8629,257949,0.5833946634261558,0.7979866557415428,0.6740226612089933,0.08622692975309079,7.489423239642467,17.97726188827864,20.201334425845722
extreme_abs_151_h3,xgboost,country_class_balanced,0.43,325005,42715,57430,33803,23627,8912,258663,0.5885948110743514,0.7913613484724336,0.6750811323580808,0.0836976159268837,7.2697343117798185,17.670497376963432,20.86386515275664
extreme_abs_151_h3,xgboost,country_class_balanced,0.44,325005,42715,56444,33536,22908,9179,259382,0.5941464106016583,0.7851106168793164,0.6764085962948396,0.08115058981898048,7.048506946046984,17.367117428962633,21.48893831206836
extreme_abs_151_h3,xgboost,country_class_balanced,0.45,325005,42715,55490,33264,22226,9451,260064,0.5994593620472157,0.7787428303874517,0.6774400488773484,0.07873463459562861,6.83866402055353,17.073583483331024,22.125716961254827
extreme_abs_151_h3,xgboost,country_class_balanced,0.46,325005,42715,54557,32982,21575,9733,260715,0.6045420386018293,0.772140934098092,0.6781396496422404,0.07642849551879273,6.638359409855233,16.786510976754204,22.7859065901908
extreme_abs_151_h3,xgboost,country_class_balanced,0.47,325005,42715,53601,32671,20930,10044,261360,0.6095222104065222,0.7648601193959967,0.6784127247809294,0.0741436111799922,6.43990092460116,16.492361655974523,23.51398806040033
extreme_abs_151_h3,xgboost,country_class_balanced,0.48,325005,42715,52605,32361,20244,10354,262046,0.6151696606786428,0.7576027156736509,0.6789970625262274,0.07171348613128344,6.228827248811557,16.18590483223335,24.239728432634905
extreme_abs_151_h3,xgboost,country_class_balanced,0.49,325005,42715,51674,32074,19600,10641,262690,0.6206989975616364,0.7508837644855437,0.6796130905084279,0.06943214424882213,6.030676451131521,15.899447700804602,24.91162355144563
extreme_abs_151_h3,xgboost,country_class_balanced,0.5,325005,42715,50771,31783,18988,10932,263302,0.6260069724842923,0.7440711693784385,0.6799520783860685,0.06726416096921606,5.8423716558206795,15.6216058214489,25.59288306215615
extreme_abs_151_h3,xgboost,country_class_balanced,0.51,325005,42715,49872,31477,18395,11238,263895,0.6311557587423805,0.7369074095750907,0.6799442686338254,0.06516348436005526,5.659912924416547,15.344994692389347,26.30925904249093
extreme_abs_151_h3,xgboost,country_class_balanced,0.52,325005,42715,49013,31197,17816,11518,264474,0.6365046008201906,0.73035233524523,0.6802066980638409,0.06311240213964363,5.481761819048938,15.080691066291287,26.964766475477
extreme_abs_151_h3,xgboost,country_class_balanced,0.53,325005,42715,48124,30875,17249,11840,265041,0.6415717729199568,0.7228139997658902,0.6797741058355993,0.061103829395302706,5.307302964569776,14.807156812972108,27.71860002341098
extreme_abs_151_h3,xgboost,country_class_balanced,0.54,325005,42715,47260,30552,16708,12163,265582,0.6464663563267034,0.7152522533068009,0.6791219783273131,0.05918736051578164,5.140843987015584,14.541314749003861,28.47477466931991
extreme_abs_151_h3,xgboost,country_class_balanced,0.55,325005,42715,46388,30231,16157,12484,266133,0.6516987151849616,0.7077373288072106,0.6785630113464193,0.05723546707286833,4.97130813372102,14.273011184443316,29.22626711927894
extreme_abs_151_h3,xgboost,country_class_balanced,0.56,325005,42715,45540,29877,15663,12838,266627,0.656060606060606,0.6994498419758867,0.6770607897569543,0.05548549364129087,4.819310472146582,14.012092121659666,30.05501580241133
extreme_abs_151_h3,xgboost,country_class_balanced,0.57,325005,42715,44751,29575,15176,13140,267114,0.6608790865008604,0.692379726091537,0.6762627763931128,0.053760317404087994,4.669466623590406,13.769326625744219,30.762027390846306
extreme_abs_151_h3,xgboost,country_class_balanced,0.58,325005,42715,43942,29269,14673,13446,267617,0.6660825633789996,0.6852159662881891,0.6755138073092769,0.05197846186545751,4.5146997738496335,13.520407378348025,31.478403371181084
extreme_abs_151_h3,xgboost,country_class_balanced,0.59,325005,42715,43151,28966,14185,13749,268105,0.6712706542142708,0.6781224394240899,0.6746791512356463,0.050249743171915405,4.364548237719419,13.277026507284504,32.18775605759101
extreme_abs_151_h3,xgboost,country_class_balanced,0.6,325005,42715,42321,28633,13688,14082,268602,0.6765671888660476,0.6703265831675056,0.6734324286184675,0.04848914237132027,4.2116275134228705,13.021645820833525,32.967341683249444
extreme_abs_151_h3,xgboost,country_class_balanced,0.61,325005,42715,41499,28305,13194,14410,269096,0.6820646280633268,0.6626477818096688,0.6722160210891301,0.046739168939742816,4.059629851848433,12.768726634974847,33.73522181903313
extreme_abs_151_h3,xgboost,country_class_balanced,0.62,325005,42715,40712,28005,12707,14710,269583,0.6878807231283159,0.655624487884818,0.6713653853069149,0.04501399270253994,3.909786003292257,12.526576514207473,34.437551211518205
extreme_abs_151_h3,xgboost,country_class_balanced,0.63,325005,42715,39944,27680,12264,15035,270026,0.6929701582215101,0.6480159194662296,0.6697395322953338,0.04344468454426299,3.773480407993723,12.29027245734681,35.19840805337704
extreme_abs_151_h3,xgboost,country_class_balanced,0.64,325005,42715,39185,27368,11817,15347,270473,0.6984305218833737,0.6407116937843849,0.6683272283272284,0.04186120656062914,3.63594406239904,12.056737588652481,35.92883062156151
extreme_abs_151_h3,xgboost,country_class_balanced,0.65,325005,42715,38384,27031,11353,15684,270937,0.704225719049604,0.6328221936088025,0.666617344233591,0.040217506819228456,3.4931770280457224,11.810279841848587,36.717780639119745
extreme_abs_151_h3,xgboost,country_class_balanced,0.66,325005,42715,37600,26702,10898,16013,271392,0.7101595744680851,0.6251199812712162,0.6649318309157692,0.0386056891848808,3.3531791818587404,11.569052783803325,37.48800187287838
extreme_abs_151_h3,xgboost,country_class_balanced,0.67,325005,42715,36778,26338,10440,16377,271850,0.7161346457121105,0.6165983846423972,0.6626495414690602,0.03698324418151546,3.2122582729496467,11.316133597944647,38.340161535760274
extreme_abs_151_h3,xgboost,country_class_balanced,0.68,325005,42715,36038,26020,10018,16695,272272,0.722015650147067,0.6091536930820555,0.6608002234835498,0.03548832760636225,3.082414116705897,11.088444793157029,39.08463069179445
extreme_abs_151_h3,xgboost,country_class_balanced,0.69,325005,42715,35283,25675,9608,17040,272682,0.727687554913131,0.6010769050684771,0.658350214108054,0.03403592050727975,2.9562622113505945,10.85614067475885,39.89230949315229
extreme_abs_151_h3,xgboost,country_class_balanced,0.7,325005,42715,34500,25318,9182,17397,273108,0.7338550724637681,0.5927191852979047,0.655779317490125,0.03252683410676963,2.825187304810695,10.615221304287626,40.72808147020953
extreme_abs_151_h3,xgboost,country_class_balanced,0.71,325005,42715,33712,24961,8751,17754,273539,0.7404188419553868,0.5843614655273324,0.6531984769780314,0.031000035424563394,2.692573960400609,10.372763495946216,41.563853447266766
extreme_abs_151_h3,xgboost,country_class_balanced,0.72,325005,42715,32983,24615,8368,18100,273922,0.7462935451596276,0.5762612665340044,0.6503474332214854,0.029643274646639982,2.5747296195443146,10.148459254473009,42.37387334659955
extreme_abs_151_h3,xgboost,country_class_balanced,0.73,325005,42715,32220,24248,7972,18467,274318,0.7525760397268777,0.5676694369659371,0.6471742176553013,0.028240461936306634,2.452885340225535,9.913693635482531,43.2330563034063
extreme_abs_151_h3,xgboost,country_class_balanced,0.74,325005,42715,31485,23875,7610,18840,274680,0.758297602032714,0.5589371415193726,0.6435309973045822,0.02695809274150696,2.3415024384240244,9.687543268565099,44.10628584806274
extreme_abs_151_h3,xgboost,country_class_balanced,0.75,325005,42715,30684,23490,7194,19225,275096,0.7655455612045365,0.5499239143158141,0.6400632161201106,0.025484430904389104,2.213504407624498,9.441085521761204,45.00760856841859
extreme_abs_151_h3,xgboost,country_class_balanced,0.76,325005,42715,29874,23101,6773,19614,275517,0.7732811140121845,0.5408170431932576,0.6364876220915016,0.023993056785575118,2.0839679389547854,9.191858586790973,45.918295680674234
extreme_abs_151_h3,xgboost,country_class_balanced,0.77,325005,42715,29059,22677,6382,20038,275908,0.7803778519563647,0.5308907877794685,0.6319001309666452,0.0226079563569379,1.9636620975061923,8.941093213950555,46.91092122205314
extreme_abs_151_h3,xgboost,country_class_balanced,0.78,325005,42715,28310,22280,6030,20435,276260,0.7870010596962204,0.5215966288189161,0.6273847236888419,0.021361011725530482,1.8553560714450548,8.7106352209966,47.840337118108394
extreme_abs_151_h3,xgboost,country_class_balanced,0.79,325005,42715,27503,21861,5642,20854,276648,0.7948587426826165,0.5117874283038745,0.6226608561907203,0.019986538665910943,1.7359732927185736,8.462331348748481,48.82125716961255
extreme_abs_151_h3,xgboost,country_class_balanced,0.8,325005,42715,26734,21451,5283,21264,277007,0.8023864741527643,0.5021889266065784,0.6177482757131132,0.018714796840128944,1.6255134536391749,8.22571960431378,49.78110733934215
extreme_abs_151_h3,xgboost,country_class_balanced,0.81,325005,42715,25950,21027,4923,21688,277367,0.8102890173410404,0.49226267119278944,0.6124517585378286,0.017439512558007724,1.5147459269857386,7.984492546268519,50.773732880721056
extreme_abs_151_h3,xgboost,country_class_balanced,0.82,325005,42715,25133,20570,4563,22145,277727,0.818445867982334,0.48156385344726677,0.6063553826199741,0.0161642282758865,1.4039784003323026,7.733111798280026,51.84361465527332
extreme_abs_151_h3,xgboost,country_class_balanced,0.83,325005,42715,24260,20090,4170,22625,278120,0.8281121187139324,0.4703265831675056,0.5999253452780888,0.014772042934570831,1.2830571837356348,7.464500546145444,52.967341683249444
extreme_abs_151_h3,xgboost,country_class_balanced,0.84,325005,42715,23383,19592,3791,23123,278499,0.8378736689047599,0.4586679152522533,0.5928167266785682,0.013429451982004322,1.1664435931754895,7.194658543714712,54.13320847477467
extreme_abs_151_h3,xgboost,country_class_balanced,0.85,325005,42715,22445,19001,3444,23714,278846,0.8465582535085765,0.4448320262202973,0.5832105586249232,0.012200219632293032,1.0596760049845386,6.906047599267704,55.51679737797027
extreme_abs_151_h3,xgboost,country_class_balanced,0.86,325005,42715,21438,18370,3068,24345,279222,0.8568896352271668,0.43005969799836125,0.5726934048290806,0.0108682560487442,0.9439854771465055,6.5962062122121194,56.99403020016388
extreme_abs_151_h3,xgboost,country_class_balanced,0.87,325005,42715,20462,17732,2730,24983,279560,0.866581956797967,0.4151234929181786,0.5613435269164411,0.00967090580608594,0.8399870771218905,6.295903139951693,58.48765070818214
extreme_abs_151_h3,xgboost,country_class_balanced,0.88,325005,42715,19423,17020,2403,25695,279887,0.8762806981413788,0.39845487533653284,0.5478129325050693,0.008512522583159163,0.739373240411686,5.976215750526915,60.154512466346716
extreme_abs_151_h3,xgboost,country_class_balanced,0.89,325005,42715,18373,16283,2090,26432,280200,0.8862461220268872,0.3812009832611495,0.5330997904662127,0.0074037337489815435,0.643067029738004,5.653143797787727,61.87990167388505
extreme_abs_151_h3,xgboost,country_class_balanced,0.9,325005,42715,17274,15531,1743,27184,280547,0.8990969086488364,0.3635959264895236,0.5177949290703295,0.006174501399270254,0.5362994415470531,5.314995153920709,63.64040735104764
extreme_abs_151_h3,xgboost,country_class_balanced,0.91,325005,42715,16045,14602,1443,28113,280847,0.9100654409473357,0.34184712630223574,0.49700476514635805,0.005111764497502568,0.44399316933585636,4.93684712542884,65.81528736977643
extreme_abs_151_h3,xgboost,country_class_balanced,0.92,325005,42715,14741,13624,1117,29091,281173,0.9242249508174479,0.3189511881072223,0.4742411584516847,0.003956923730915016,0.3436870201996892,4.535622528884171,68.10488118927778
extreme_abs_151_h3,xgboost,country_class_balanced,0.93,325005,42715,13385,12538,847,30177,281443,0.9367202091893911,0.29352686409926254,0.4469875222816399,0.0030004605193240993,0.26061137520961214,4.118398178489562,70.64731359007375
extreme_abs_151_h3,xgboost,country_class_balanced,0.94,325005,42715,11974,11355,619,31360,281671,0.9483046600968765,0.26583167505560107,0.4152571815173069,0.002192780473980658,0.19045860832910264,3.6842510115228997,73.41683249443989
extreme_abs_151_h3,xgboost,country_class_balanced,0.95,325005,42715,10415,10002,413,32713,281877,0.9603456553048487,0.23415661945452418,0.3765104460756634,0.0014630344681001806,0.1270749680774142,3.204566083598714,76.58433805454759
extreme_abs_151_h3,xgboost,country_class_balanced,0.96,325005,42715,8769,8499,270,34216,282020,0.969209716045159,0.1989699168910219,0.33016082666459484,0.0009564632115909172,0.08307564499007708,2.698112336733281,80.1030083108978
extreme_abs_151_h3,xgboost,country_class_balanced,0.97,325005,42715,6852,6708,144,36007,282146,0.978984238178634,0.15704085215966287,0.270663949805314,0.0005101137128484892,0.04430701066137444,2.1082752573037338,84.29591478403371
extreme_abs_151_h3,xgboost,country_class_balanced,0.98,325005,42715,4577,4514,63,38201,282227,0.9862355254533537,0.10567716258925436,0.19089909498435254,0.000223174749371214,0.01938431716435132,1.408286026368825,89.43228374107457
