split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,held_out_country,random_pr_auc,random_f1,random_recall,random_precision,drop_random_to_loco_pr_auc,relative_drop_random_to_loco_pr_auc,drop_random_to_loco_f1,relative_drop_random_to_loco_f1,drop_random_to_loco_recall,relative_drop_random_to_loco_recall,drop_random_to_loco_precision,relative_drop_random_to_loco_precision
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10725,135,0.0125874125874125,0.9534731934731936,0.5303483370055608,0.0333333333333333,0.0962962962962963,0.0495238095238095,0.5128383683222393,10213,377,122,13,0.0355996222851746,0.9037037037037036,0.5767859266253978,0.0197168778760439,Saudi Arabia,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.7979931152617964,0.9758876887386647,0.6539674014136905,0.9296028027730266,0.7881420094127276,0.8911215223552548,0.5506755843804891,0.942923245994563
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,9867,51,0.005168744299179,0.963312050268572,0.6597122345270626,0.0518731988472622,0.3529411764705882,0.0904522613065326,0.5358653528295179,9487,329,33,18,0.0335167074164629,0.6470588235294118,0.920985346053662,0.0469894662852084,Thailand,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.7707205268526319,0.9425352916320696,0.6130389496309674,0.8714237507161001,0.5314971292384357,0.6009431362341918,0.5321357188665603,0.911177385697591
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10725,61,0.0056876456876456,0.993006993006993,0.5074934204862691,0.0625,0.0163934426229508,0.0259740259740259,0.5112324628536672,10649,15,60,1,0.0014066016504126,0.9836065573770492,0.8075984159974419,0.0503452749337761,South Africa,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.7673647182040643,0.9384313811054411,0.6775171849634741,0.9630783930627763,0.8680448630860731,0.9814645719015881,0.5215089177138225,0.8929810862398057
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,20306,142,0.0069930069930069,0.8973209888702847,0.8364163856377702,0.0508552935737401,0.7746478873239436,0.0954446854663774,0.5205079954859493,18111,2053,32,110,0.1018151160484031,0.2253521126760563,0.9015939018359312,0.0530227928290177,Philippines,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.7646872003088226,0.9351569709628341,0.6080465254711226,0.864327110300093,0.1097904183850803,0.1241357567581439,0.5331536241400824,0.9129203475645207
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,12584,130,0.0103305785123966,0.9825969485060394,0.545904930142926,0.1130434782608695,0.1,0.1061224489795918,0.5486676924109932,12352,102,117,13,0.008190139714148,0.9,0.8293937073044186,0.0665471066529507,South Korea,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.7511628864848896,0.9186177162913393,0.5973687619579082,0.8491488630850571,0.784438305709024,0.8869338885996877,0.470965439452953,0.8064353559815617
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10582,611,0.0577395577395577,0.9106029106029108,0.622242801998135,0.2596843615494978,0.2962356792144026,0.2767584097859327,0.6145576899856335,9455,516,430,181,0.0517500752181325,0.7037643207855974,0.7846867207865166,0.2140456609486541,Turkey,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.6036643321891862,0.738237684821136,0.4267328011515673,0.6065929389265382,0.5882026264946214,0.6650578369319717,0.32432455616432465,0.5553417873034107
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,13442,1568,0.1166493081386698,0.832614194316322,0.6412177996514422,0.3214659685863874,0.3915816326530612,0.3530764807360552,0.6284736415472124,10578,1296,954,614,0.1091460333501768,0.6084183673469388,0.6909144658368652,0.2730103632461933,Indonesia,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.544699629891647,0.6661281315658664,0.3504147302014448,0.4981081849401763,0.49285667305596276,0.5572538750013281,0.2625429491274351,0.44955297969625707
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,10868,838,0.0771071034228929,0.8145012881854987,0.7103058366666111,0.2275670675300647,0.5871121718377088,0.328,0.610199829205807,8360,1670,346,492,0.1665004985044865,0.4128878281622912,0.7956075687020085,0.33959414186401,Vietnam,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.47811585127383033,0.5847010007045799,0.3754912109375,0.5337539475967378,0.2973261338713151,0.33617509774518295,0.35644185018375774,0.6103363140054349
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,12441,1135,0.0912306084719877,0.8882726468933365,0.7316573555345842,0.4139095205941931,0.5400881057268723,0.4686544342507645,0.7031137077388737,10438,868,522,613,0.0767733946577038,0.4599118942731277,0.7736601593945283,0.4065716834137466,Brazil,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.4111383097240937,0.5027923263434897,0.23483677668673553,0.3338162197844417,0.34435019998215166,0.3893433807190179,0.17009939711962935,0.2912616433761066
leave_one_country_out,extreme_abs_151_h1,logistic_regression,linear,test,15158,5032,0.3319699168755772,0.5771869639794168,0.5883136588680558,0.4097759140348578,0.621422893481717,0.4938798073126431,0.5654126844867753,5622,4504,1905,3127,0.4447955757456053,0.3785771065182829,0.6231522168844263,0.4380228366764958,Egypt,0.8177099931378403,0.7034912109375,0.8844383057090239,0.5840089177138225,0.37968715646134454,0.4643298475592204,0.20961140362485692,0.2979588093865743,0.26301541222730696,0.2973812989889176,0.17423300367896466,0.2983396287183799
