target,model,experiment,shift_metric,outcome,n_countries,spearman_r,spearman_p
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_max_abs,pr_auc_base,21,0.24155844155844156,0.291470754429199
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_max_abs,f1_base,24,0.3201294074723597,0.1272480907858751
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_max_abs,pr_auc_delta,21,-0.13376623376623376,0.5632192812726847
extreme_abs_151_h3,xgboost,XGBoost h=3,smd_max_abs,f1_delta,24,0.2730187770501007,0.1967728425213203
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_mean_norm,pr_auc_base,21,0.11168831168831168,0.6298112160877903
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_mean_norm,f1_base,24,0.20629529305911135,0.3334730931380235
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_mean_norm,pr_auc_delta,21,-0.6,0.004035915381626971
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_mean_norm,f1_delta,24,-0.16381126623006043,0.4443573171907594
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_max_norm,pr_auc_base,21,0.22987012987012984,0.31614983766634075
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_max_norm,f1_base,24,0.33035124631763096,0.11488200284027812
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_max_norm,pr_auc_delta,21,-0.14545454545454545,0.5292829389801046
extreme_abs_151_h3,xgboost,XGBoost h=3,wasserstein_max_norm,f1_delta,24,0.30099756081391266,0.15293035328505455
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_mean,pr_auc_base,21,-0.15194805194805194,0.5108526218124549
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_mean,f1_base,24,-0.12870224364273386,0.5489381508839766
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_mean,pr_auc_delta,21,-0.7025974025974026,0.0003830223061813109
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_mean,f1_delta,24,-0.42645081704519866,0.03770306602248302
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_max,pr_auc_base,21,-0.3233766233766234,0.1527420375382629
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_max,f1_base,24,-0.26716169709231763,0.2069339761968828
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_max,pr_auc_delta,21,-0.3987012987012987,0.0734080774222403
extreme_abs_151_h3,xgboost,XGBoost h=3,ks_max,f1_delta,24,-0.37274960304691435,0.07282968717526449
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_smd_abs,pr_auc_base,21,0.12857142857142856,0.5786044448638965
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_smd_abs,f1_base,24,0.14542888902590506,0.4977473144662199
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_smd_abs,pr_auc_delta,21,-0.5818181818181818,0.005660702226084471
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_smd_abs,f1_delta,24,-0.2342094963454583,0.2706591736269342
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_wasserstein_norm,pr_auc_base,21,0.07792207792207792,0.7370748924266822
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_wasserstein_norm,f1_base,24,0.17795292171540458,0.405454720947421
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_wasserstein_norm,pr_auc_delta,21,-0.7961038961038961,1.5853672956450238e-05
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_wasserstein_norm,f1_delta,24,-0.3420631950478948,0.10182080880949984
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_ks,pr_auc_base,21,-0.03506493506493507,0.8800592616595699
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_ks,f1_base,24,0.03438254884318522,0.8732795400202863
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_ks,pr_auc_delta,21,-0.7753246753246753,3.6511080075003096e-05
extreme_abs_151_h3,xgboost,XGBoost h=3,aqi_ks,f1_delta,24,-0.3641754596354236,0.08020508182049503
