target,model,held_out_country,pr_auc_local,roc_auc_local,f1_local,recall_local,precision_local,balanced_accuracy_local,false_alarm_rate_local,missed_event_rate_local,pr_auc_weighted,roc_auc_weighted,f1_weighted,recall_weighted,precision_weighted,balanced_accuracy_weighted,false_alarm_rate_weighted,missed_event_rate_weighted,feature_regime,weighting_strategy,pr_auc_delta,roc_auc_delta,f1_delta,recall_delta,precision_delta,balanced_accuracy_delta,false_alarm_rate_delta,missed_event_rate_delta
extreme_abs_151_h3,xgboost,South Korea,0.0524454066273345,0.8621922219009326,0.0,0.0,0.0,0.4999592867030372,8.14265939255761e-05,1.0,0.0739560486134519,0.8785051103202117,0.1045751633986928,0.1259842519685039,0.0893854748603352,0.5563558585793176,0.0132725348098689,0.8740157480314961,local,country_class_balanced,0.0215106419861174,0.016312888419279137,0.1045751633986928,0.1259842519685039,0.0893854748603352,0.05639657187628039,0.013191108215943324,-0.12598425196850394
extreme_abs_151_h3,xgboost,Thailand,0.0525012273762282,0.9491326598835442,0.0,0.0,0.0,0.4995350278983261,0.0009299442033477,1.0,0.0537546140711814,0.9442256340436568,0.0851063829787234,0.5882352941176471,0.0458715596330275,0.7618795813427666,0.064476131432114,0.4117647058823529,local,country_class_balanced,0.0012533866949532013,-0.004907025839887447,0.0851063829787234,0.5882352941176471,0.0458715596330275,0.26234455344444046,0.0635461872287663,-0.5882352941176471
extreme_abs_151_h3,xgboost,Turkey,0.2602479389762805,0.8445574876279575,0.1054216867469879,0.0583333333333333,0.546875,0.5276921903599756,0.0029489526133821,0.9416666666666668,0.2608864819691676,0.8413524506813099,0.3070175438596491,0.35,0.2734375,0.6466290420988408,0.0567419158023184,0.65,local,country_class_balanced,0.0006385429928870701,-0.0032050369466475326,0.20159585711266118,0.2916666666666667,-0.2734375,0.11893685173886515,0.0537929631889363,-0.29166666666666674
extreme_abs_151_h3,xgboost,United Kingdom,0.0011337868480725,0.9143995336183444,0.0,0.0,0.0,0.5,0.0,1.0,0.001953125,0.9503497862417412,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.0008193381519275001,0.035950252623396795,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,United States,0.0171443953030203,0.9077749453750912,0.0,0.0,0.0,0.5,0.0,1.0,0.0432905906680392,0.9124159816876496,0.0,0.0,0.0,0.5,0.0,1.0,local,country_class_balanced,0.026146195365018898,0.004641036312558411,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Vietnam,0.439564785731255,0.8690467940168357,0.2648221343873518,0.1632155907429963,0.7015706806282722,0.5787275528247574,0.0057604850934815,0.8367844092570037,0.4635175453472075,0.8774098189331464,0.3995584988962472,0.6613885505481121,0.2862414338429098,0.7622758821462137,0.1368367862556846,0.3386114494518879,local,country_class_balanced,0.0239527596159525,0.00836302491631069,0.13473636450889542,0.4981729598051158,-0.4153292467853624,0.18354832932145626,0.1310763011622031,-0.4981729598051158
extreme_abs_151_h3,xgboost,Australia,0.0005662514156285,0.8285075787019044,0.0,0.0,0.0,0.5,0.0,1.0,0.0003586800573888,0.7292071511853867,0.0,0.0,0.0,0.5,0.0,1.0,local,inverse_country_size,-0.00020757135823969998,-0.09930042751651769,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Bangladesh,0.951306421729062,0.900205638144163,0.876285868976719,0.8830991679170646,0.8695768972464741,0.7981227006498174,0.2868537666174298,0.1169008320829354,0.9523577419315974,0.9015868349678337,0.876988121602577,0.891283590233256,0.8631439894319684,0.7926137301240135,0.3060561299852289,0.1087164097667439,local,inverse_country_size,0.0010513202025353996,0.0013811968236706607,0.0007022526258579909,0.008184422316191431,-0.006432907814505784,-0.005508970525803902,0.019202363367799125,-0.0081844223161915
extreme_abs_151_h3,xgboost,Brazil,0.3460429097512201,0.8378020422926485,0.0751633986928104,0.0405286343612334,0.5168539325842697,0.518332948154386,0.0038627380524613,0.9594713656387666,0.3307123749403426,0.8451495945332027,0.0412201154163231,0.0220264317180616,0.3205128205128205,0.5086326912453046,0.0047610492274523,0.9779735682819384,local,inverse_country_size,-0.015330534810877483,0.007347552240554167,-0.033943283276487296,-0.0185022026431718,-0.19634111207144922,-0.009700256909081384,0.0008983111749909997,0.018502202643171817
extreme_abs_151_h3,xgboost,China,0.6150107489381027,0.9298201617287384,0.4995654872749844,0.908352144469526,0.3445205479452055,0.8553022216303616,0.1977477012088025,0.091647855530474,0.6092809046115091,0.9277980277517802,0.4926011984835514,0.909255079006772,0.3378061053337806,0.8526541951496305,0.2039466887075111,0.0907449209932279,local,inverse_country_size,-0.005729844326593625,-0.0020221339769581625,-0.006964288791433015,0.0009029345372461028,-0.006714442611424898,-0.002648026480731147,0.006198987498708591,-0.0009029345372461028
extreme_abs_151_h3,xgboost,Egypt,0.4042492923142619,0.6238116284925873,0.2296663540131314,0.1725734997986306,0.34321185422507,0.5041224212420007,0.1643286573146292,0.8274265002013693,0.4006262880185873,0.6269023144960884,0.2307895431740163,0.1759967780910189,0.3351226993865031,0.5011246415505195,0.1737474949899799,0.8240032219089811,local,inverse_country_size,-0.003623004295674581,0.003090686003501042,0.0011231891608848854,0.00342327829238831,-0.008089154838566925,-0.002997779691481184,0.009418837675350705,-0.003423278292388199
extreme_abs_151_h3,xgboost,Ethiopia,0.4182210648368007,0.9020899678330312,0.3788187372708758,0.3500627352572145,0.4127218934911242,0.6534880639602765,0.0430866073366616,0.6499372647427855,0.4251776817602358,0.9039091132663484,0.392235609103079,0.3676286072772898,0.4203730272596843,0.6618911432305703,0.0438463208161493,0.6323713927227101,local,inverse_country_size,0.006956616923435077,0.001819145433317182,0.013416871832203192,0.017565872020075313,0.007651133768560081,0.008403079270293823,0.0007597134794877017,-0.017565872020075313
extreme_abs_151_h3,xgboost,France,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,inverse_country_size,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Germany,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,inverse_country_size,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,India,0.8987588815351613,0.9421931364493488,0.790885703785373,0.7394172622319956,0.8500553009954179,0.8328885799015957,0.0736401024288042,0.2605827377680044,0.9055706341066811,0.9458898462906716,0.8106082444508503,0.7729521715228147,0.8521212121212122,0.8486084672311055,0.0757352370606037,0.2270478284771852,local,inverse_country_size,0.006811752571519891,0.003696709841322865,0.019722540665477295,0.03353490929081915,0.0020659111257942397,0.015719887329509796,0.0020951346317995,-0.033534909290819204
extreme_abs_151_h3,xgboost,Indonesia,0.1821976939527264,0.6347349064989678,0.0490143846563665,0.0293367346938775,0.1488673139158576,0.5034155862413423,0.0225055622111928,0.9706632653061223,0.1907300316794878,0.6411854506264254,0.0529729729729729,0.03125,0.1737588652482269,0.5056558060927605,0.0199383878144788,0.96875,local,inverse_country_size,0.008532337726761402,0.0064505441274576025,0.0039585883166064,0.0019132653061224997,0.024891551332369283,0.0022402198514182015,-0.0025671743967140004,-0.001913265306122347
extreme_abs_151_h3,xgboost,Japan,,,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,local,inverse_country_size,,,0.0,0.0,0.0,0.0,0.0,0.0
extreme_abs_151_h3,xgboost,Mexico,0.5647643485518264,0.8959046983356186,0.5349056603773585,0.4813242784380305,0.6019108280254777,0.7239657901540109,0.0333926981300089,0.5186757215619694,0.5701815570056135,0.9025427585278942,0.5485232067510548,0.4966044142614601,0.612565445026178,0.731828476053259,0.0329474621549421,0.5033955857385399,local,inverse_country_size,0.005417208453787015,0.006638060192275641,0.013617546373696277,0.01528013582342963,0.010654617000700362,0.0078626858992481,-0.0004452359750668003,-0.015280135823429464
