split_name,target,held_out_country,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
leave_one_country_out,extreme_abs_151_h3,Philippines,logistic_regression,linear,test,20022,138,0.0068924183398261,0.846568774348217,0.8795754506572906,0.03954802259887,0.9130434782608696,0.075812274368231,0.4960760718246383,16824,3060,12,126,0.1538925769462884,0.0869565217391304,0.8971396418065358,0.0457548222876881
leave_one_country_out,extreme_abs_151_h3,Russia,lightgbm,boosting,test,11844,1213,0.1024147247551502,0.9297534616683552,0.8235656535898878,0.6473317865429234,0.6900247320692497,0.6679968076616122,0.8143590874300886,10175,456,376,837,0.0428934248894741,0.3099752679307502,0.9310573698239596,0.734327460458994
leave_one_country_out,extreme_abs_151_h3,Saudi Arabia,lightgbm,boosting,test,10575,134,0.0126713947990543,0.9681323877068558,0.5086959846872333,0.0234741784037558,0.0373134328358208,0.0288184438040345,0.5063094286029739,10233,208,129,5,0.0199214634613542,0.9626865671641792,0.5649841969160042,0.0166714385697127
leave_one_country_out,extreme_abs_151_h3,South Africa,random_forest,ensemble,test,10575,61,0.0057683215130023,0.9942316784869976,0.5,0.0,0.0,0.0,0.4985537483996396,10514,0,61,0,0.0,1.0,0.8465262553909386,0.0207290128488306
leave_one_country_out,extreme_abs_151_h3,South Korea,logistic_regression,linear,test,12408,127,0.0102353320438426,0.9552707930367504,0.6657005540214158,0.0900383141762452,0.3700787401574803,0.1448382126348228,0.5609365060774147,11806,475,80,47,0.0386776321146486,0.6299212598425197,0.8192265499423923,0.0747563351100389
leave_one_country_out,extreme_abs_151_h3,Thailand,random_forest,ensemble,test,9729,51,0.0052420598211532,0.9612498715181416,0.6782028372415302,0.0546448087431694,0.392156862745098,0.0959232613908872,0.5380619405531192,9332,346,31,20,0.0357511882620376,0.6078431372549019,0.9496351133964642,0.055693622140378
leave_one_country_out,extreme_abs_151_h3,Turkey,random_forest,ensemble,test,10434,600,0.0575043128234617,0.9155645006708836,0.6163885499288184,0.2715447154471544,0.2783333333333333,0.2748971193415638,0.615034678838339,9386,448,433,167,0.0455562334756965,0.7216666666666667,0.7855031862246626,0.1993546120239234
leave_one_country_out,extreme_abs_151_h3,United Kingdom,random_forest,ensemble,test,10293,1,9.71534052268532e-05,0.9999028465947732,0.5,0.0,0.0,0.0,0.4999757104687879,10292,0,1,0,0.0,1.0,0.9221725612125924,0.0012468827930174
leave_one_country_out,extreme_abs_151_h3,United States,decision_tree,tree,test,27495,35,0.0012729587197672,0.992944171667576,0.5256398917906565,0.0122699386503067,0.0571428571428571,0.0202020202020202,0.5083306786657641,27299,161,33,2,0.005863073561544,0.9428571428571428,0.5096457184476122,0.0057324495602619
leave_one_country_out,extreme_abs_151_h3,Vietnam,random_forest,ensemble,test,10716,821,0.0766144083613288,0.91993281075028,0.6796372877454441,0.4730713245997088,0.3958587088915956,0.4310344827586206,0.6939854204598163,9533,362,496,325,0.0365841334007074,0.6041412911084044,0.778763865902574,0.3751975965952021
