Country,observations,events,event_prevalence,city_count,aqi_mean,aqi_std,aqi_p90,aqi_p95,aqi_mean_abs_smd_vs_global,aqi_seasonal_amplitude,profile_shift_smd_mean,profile_shift_smd_max,target
Japan,22278,0.0,0.0,158,51.5127031151809,19.971362431454597,77.0,87.0,0.5644499094451654,26.704689298043732,0.48970871363439133,0.6364669382081998,extreme_abs_151_h3
Mexico,12408,1178.0,0.09493874919406835,88,87.59276273372018,36.672883679414404,147.0,161.0,0.03233181966514514,46.05940082644628,0.25613086827884185,0.9354825396164983,extreme_abs_151_h3
Nigeria,10152,3938.0,0.3879038613081166,72,125.68804176516943,61.24508631555889,188.0,217.0,0.6624462577146369,85.16550925925925,0.4887395754260003,0.8431137503449058,extreme_abs_151_h3
Pakistan,11139,9129.0,0.8195529221653649,79,186.23377322919472,74.83853647070221,267.2000000000007,341.0,1.6639020949656176,118.78538550057536,1.1932943734896124,1.898098734234802,extreme_abs_151_h3
Philippines,20022,138.0,0.0068924183398261915,142,61.863300369593446,27.551854433752823,95.0,110.0,0.39324599814013095,17.11795774647888,0.43622361300110146,1.3787272981246288,extreme_abs_151_h3
Russia,11844,1213.0,0.10241472475515029,84,81.66953731847349,54.169593805998296,152.0,179.0,0.0656412087221114,42.516865079365076,0.2259269473359289,0.5782317975992812,extreme_abs_151_h3
Saudi Arabia,10575,134.0,0.012671394799054374,75,82.85011820330969,27.676150483658706,124.0,138.0,0.04611382685921929,8.430000000000007,0.46914060183959244,1.8546110916680343,extreme_abs_151_h3
South Africa,10575,61.0,0.005768321513002364,75,67.77314420803782,26.271754876829576,96.0,99.0,0.29549430753963923,19.212222222222223,0.48749155707061953,0.7024465879771675,extreme_abs_151_h3
South Korea,12408,127.0,0.010235332043842683,87,78.7860251450677,28.692100520613923,118.0,136.0,0.1133359021053649,42.94912190082645,0.3362943667430891,0.7080304860071989,extreme_abs_151_h3
Thailand,9729,51.0,0.005242059821153253,69,82.60972350704081,17.237579911352682,103.0,120.0,0.050090072021368996,1.510649978041286,0.18759171850875864,0.5346447110085869,extreme_abs_151_h3
Turkey,10434,600.0,0.05750431282346176,74,86.34397163120568,31.180367621448653,133.0,152.0,0.01167620763635471,24.664107289107292,0.2629067025381781,0.5553985212739431,extreme_abs_151_h3
United Kingdom,10293,1.0,9.71534052268532e-05,73,57.51063829787234,15.755633928730093,75.0,82.0,0.46524114517863113,2.100352843503522,0.3293092248262984,0.5481058279622077,extreme_abs_151_h3
United States,27495,35.0,0.0012729587197672304,184,51.28627023095108,20.03043418652953,75.0,83.0,0.5681952194476098,10.135470085470082,0.4078061324026886,0.676407254865289,extreme_abs_151_h3
Vietnam,10716,821.0,0.07661440836132885,76,81.80505785740948,35.4101015690125,139.0,154.0,0.06339963311466353,41.49262360446571,0.4899210836340147,2.218168054588912,extreme_abs_151_h3
