held_out_country,train_country,profile_distance,similarity_weight,target,model,feature_regime,temperature
Indonesia,Vietnam,1.0448078849710938,1.0633243049575176,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,France,1.0528437127368224,1.0590605309451058,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,South Africa,1.1282823375440183,1.0198574995069205,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Mexico,1.154494293369602,1.0065784770058863,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,India,1.298525325713846,0.9366378387658952,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Australia,1.3805209882163565,0.8990142315927282,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Saudi Arabia,1.5896290877434716,0.8097655935071417,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Nigeria,1.6314101266227012,0.7930246420478274,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Egypt,1.873550860523064,0.7025973222780862,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Bangladesh,2.162544377188392,0.6080682751587093,extreme_abs_151_h3,xgboost,local,2.0
Indonesia,Pakistan,2.3488883296577576,0.5539725817496064,extreme_abs_151_h3,xgboost,local,2.0
Japan,United States,0.4462832415303286,1.4353654841656611,extreme_abs_151_h3,xgboost,local,2.0
Japan,South Korea,0.5930898646905709,1.3337789085006757,extreme_abs_151_h3,xgboost,local,2.0
Japan,France,0.7742888849691646,1.2182515655988766,extreme_abs_151_h3,xgboost,local,2.0
Japan,Germany,0.8230711407244093,1.1888964928712595,extreme_abs_151_h3,xgboost,local,2.0
Japan,United Kingdom,0.8250468850000319,1.1877225950771386,extreme_abs_151_h3,xgboost,local,2.0
Japan,Thailand,0.8890336191513076,1.150324781008354,extreme_abs_151_h3,xgboost,local,2.0
Japan,South Africa,0.9276359736067722,1.1283350549985651,extreme_abs_151_h3,xgboost,local,2.0
Japan,Indonesia,0.9510597178537852,1.1151972235964052,extreme_abs_151_h3,xgboost,local,2.0
Japan,China,0.9759477735396628,1.1014056675219768,extreme_abs_151_h3,xgboost,local,2.0
Japan,Philippines,1.0039153748679184,1.0861110181152895,extreme_abs_151_h3,xgboost,local,2.0
Japan,Ethiopia,1.06975560453935,1.050938241041817,extreme_abs_151_h3,xgboost,local,2.0
Japan,Russia,1.0773724331350163,1.0469434445668824,extreme_abs_151_h3,xgboost,local,2.0
Japan,Mexico,1.176568096359369,0.9962840036333118,extreme_abs_151_h3,xgboost,local,2.0
Japan,Turkey,1.1854685393452933,0.9918601699680492,extreme_abs_151_h3,xgboost,local,2.0
Japan,Brazil,1.1989500736608618,0.985196755004556,extreme_abs_151_h3,xgboost,local,2.0
Japan,Australia,1.230505066615717,0.9697747965341912,extreme_abs_151_h3,xgboost,local,2.0
