target_type,severity,split_name,model,h1_event_rate,h1_pr_auc,h1_recall,h1_f1,h1_precision,h3_event_rate,h3_pr_auc,h3_recall,h3_f1,h3_precision,delta_h1_minus_h3_event_rate,delta_h1_minus_h3_pr_auc,delta_h1_minus_h3_recall,delta_h1_minus_h3_f1,delta_h1_minus_h3_precision
city_relative,p90,random_split,decision_tree,0.1080840563881641,0.2476793217161394,0.6807634730538922,0.3047794579650651,0.1963408710669761,0.1076490738651514,0.2577849707490325,0.7267530487804879,0.3165933427409313,0.2023771622625491,0.00043498252301268914,-0.0101056490328931,-0.04598957572659568,-0.011813884775866201,-0.006036291195573001
city_relative,p90,random_split,logistic_regression,0.1080840563881641,0.2419962177011171,0.6779565868263473,0.2993843738379539,0.1921098679675486,0.1076490738651514,0.1900015272129023,0.6362423780487805,0.274014197201592,0.1746064947968415,0.00043498252301268914,0.051994690488214784,0.04171420877756682,0.02537017663636193,0.017503373170707076
city_relative,p90,random_split,majority_class,0.1080840563881641,0.1080840563881641,0.0,0.0,0.0,0.1076490738651514,0.1076490738651514,0.0,0.0,0.0,0.00043498252301268914,0.00043498252301268914,0.0,0.0,0.0
city_relative,p90,temporal_split,random_forest,0.0987079128548524,0.2688341731225213,0.3932734569080833,0.3383199079401611,0.2968411942881869,0.0953620493750645,0.272873809567452,0.4239601386481802,0.3527715187021181,0.3020527859237537,0.0033458634797879083,-0.0040396364449307165,-0.03068668174009692,-0.014451610761957001,-0.005211591635566781
city_relative,p90,temporal_split,logistic_regression,0.0987079128548524,0.2300182715290539,0.5650678387158418,0.2873663751214771,0.1926760930475011,0.0953620493750645,0.180111704588109,0.5543760831889082,0.258824719328411,0.1688217442934424,0.0033458634797879083,0.04990656694094492,0.010691755526933577,0.028541655793066112,0.023854348754058702
city_relative,p90,temporal_split,decision_tree,0.0987079128548524,0.2277298744960132,0.6680680298108159,0.2769547651113047,0.1746864538050267,0.0953620493750645,0.2331139764822626,0.7302859618717504,0.2926215277777778,0.1829678679982631,0.0033458634797879083,-0.00538410198624939,-0.06221793206093451,-0.0156667626664731,-0.008281414193236386
city_relative,p90,temporal_split,majority_class,0.0987079128548524,0.0987079128548524,0.0,0.0,0.0,0.0953620493750645,0.0953620493750645,0.0,0.0,0.0,0.0033458634797879083,0.0033458634797879083,0.0,0.0,0.0
city_relative,p95,random_split,random_forest,0.0586938494832433,0.1997045104474414,0.3087525844245348,0.2665476721701621,0.2344935880659513,0.058501364074583,0.1910424338699951,0.314516129032258,0.2596988998262883,0.2211538461538461,0.00019248540866029923,0.008662076577446304,-0.005763544607723214,0.006848772343873821,0.013339741912105213
city_relative,p95,random_split,decision_tree,0.0586938494832433,0.1536179266843715,0.6933149552033081,0.1951976715983507,0.1135888895161745,0.058501364074583,0.1520730002299174,0.7426367461430575,0.1912588044067184,0.1097636815920398,0.00019248540866029923,0.0015449264544540875,-0.04932179093974942,0.003938867191632278,0.0038252079241347103
city_relative,p95,random_split,logistic_regression,0.0586938494832433,0.1524151040711248,0.6781529979324604,0.194504842854319,0.113534094842506,0.058501364074583,0.1100581611046076,0.6342917251051894,0.1732758620689655,0.1003439094741513,0.00019248540866029923,0.042356942966517194,0.043861272827271036,0.021228980785353485,0.013190185368354701
city_relative,p95,random_split,majority_class,0.0586938494832433,0.0586938494832433,0.0,0.0,0.0,0.058501364074583,0.058501364074583,0.0,0.0,0.0,0.00019248540866029923,0.00019248540866029923,0.0,0.0,0.0
city_relative,p95,temporal_split,random_forest,0.0520796001131755,0.1619260840419613,0.2741760231800072,0.2420076726342711,0.2165951359084406,0.0512550356368143,0.1672980592309401,0.294236195082628,0.2474156922555499,0.2134502923976608,0.0008245644763612003,-0.005371975188978806,-0.02006017190262077,-0.00540801962127882,0.003144843510779788
city_relative,p95,temporal_split,logistic_regression,0.0520796001131755,0.1380853178469976,0.5871061209706628,0.1872689463955637,0.1114012782626623,0.0512550356368143,0.1014430845883768,0.573559048770657,0.1624800182690111,0.0946458264050548,0.0008245644763612003,0.0366422332586208,0.013547072200005839,0.024788928126552617,0.016755451857607503
city_relative,p95,temporal_split,decision_tree,0.0520796001131755,0.1272138000415557,0.6262223831944947,0.1743031402792479,0.1012413631572783,0.0512550356368143,0.1274191467133013,0.7150342603788795,0.1791285909022062,0.1023894724691215,0.0008245644763612003,-0.00020534667174559873,-0.08881187718438477,-0.004825450622958305,-0.0011481093118431984
city_relative,p95,temporal_split,majority_class,0.0520796001131755,0.0520796001131755,0.0,0.0,0.0,0.0512550356368143,0.0512550356368143,0.0,0.0,0.0,0.0008245644763612003,0.0008245644763612003,0.0,0.0,0.0
