target,model,model_family,feature_set,n_features,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Indonesia,test,13442,1568,0.1166493081386698,0.8508406487129891,0.6338212584174651,0.357839947950553,0.350765306122449,0.3542673107890499,0.6349746074951179,10887,987,1018,550,0.0831227892875189,0.6492346938775511,0.7446628695692527,0.2995552277606372
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Japan,validation,46054,6516,0.1414860815564337,0.9222868806184044,0.9134669878471422,0.6667423640286136,0.9011663597298956,0.7664295503491484,0.8599094421017084,36603,2935,644,5872,0.0742323840356113,0.0988336402701043,0.9746146025265852,0.8832897794730964
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Japan,test,22594,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594,0,0,0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Mexico,validation,47555,6335,0.1332141730627694,0.9245294921669646,0.9147174554156629,0.6582891399584967,0.9013417521704814,0.760876807248984,0.858035437369389,38256,2964,625,5710,0.0719068413391557,0.0986582478295185,0.9772486402298942,0.8838963592718355
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Mexico,test,12584,1206,0.0958359821996185,0.9080578512396694,0.860941746415284,0.5129835718071012,0.802653399668325,0.6259295182670547,0.7867586436182386,10459,919,238,968,0.080769906837757,0.1973466003316749,0.9188003411780378,0.6258793728719824
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Nigeria,validation,47898,5913,0.1234498308906426,0.9259885590212537,0.9109956643571878,0.6449204406364749,0.8910874344664299,0.7482780657530356,0.8524472580059341,39084,2901,644,5269,0.0690961057520543,0.1089125655335701,0.9757445163597502,0.8724075624651089
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Nigeria,test,10296,4021,0.3905400155400155,0.8026418026418026,0.8218739268244108,0.6866904449033226,0.9097239492663516,0.7826272999572101,0.8009543472393663,4606,1669,363,3658,0.2659760956175299,0.0902760507336483,0.9133255587448764,0.8697591739504577
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Pakistan,validation,47748,5126,0.1073552818966239,0.9205202312138728,0.9045948667645074,0.5860374919198449,0.8843152555598908,0.7049218567763005,0.8294985032656235,39420,3202,593,4533,0.075125522030876,0.1156847444401092,0.9725112583568836,0.8345973247748361
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Pakistan,test,11297,9269,0.8204833141542003,0.8914756129946003,0.7177626828883706,0.8909303003791192,0.9887798036465638,0.9373082429944772,0.7668766363096152,906,1122,104,9165,0.5532544378698225,0.0112201963534361,0.9050354589102442,0.975830474083133
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Philippines,validation,46397,6495,0.1399874991917581,0.9213311205465872,0.9150763751483668,0.6593123530070557,0.9063895304080062,0.7633558091286307,0.8580899505769817,36860,3042,608,5887,0.0762367801112726,0.0936104695919938,0.9762226847616536,0.8838620170060301
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Philippines,test,20306,142,0.0069930069930069,0.989215010341771,0.5260612973616345,0.086021505376344,0.056338028169014,0.0680851063829787,0.5313306132256672,20079,85,134,8,0.0042154334457448,0.943661971830986,0.8977535616396254,0.0588203492215639
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Russia,validation,47641,6331,0.1328897378308599,0.9227975903108668,0.9146904904497744,0.6509272954829901,0.9036487126836202,0.7567460317460317,0.8554319714878957,38242,3068,610,5721,0.0742677317840716,0.0963512873163797,0.9766364158702204,0.8815466835381267
