target,model,model_family,feature_set,feature_regime,weighting_strategy,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Ethiopia,0.2959941478662516,1.0,11.903773605404004,1.1843775502664924,test,10153,828,0.081552250566335,0.9225844577957254,0.7537141728510186,0.5240825688073395,0.5519323671497585,0.5376470588235294,0.747701310772616,8910,415,371,457,0.0445040214477211,0.4480676328502415,0.883389089637487,0.4905220150965876
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,France,0.2947302107913914,1.0,11.882143296348636,1.2704337111936446,validation,47705,6516,0.1365894560318624,0.9208468713971282,0.8917637207309235,0.6638755980861244,0.8517495395948435,0.7461683248184996,0.8496406478688072,38379,2810,966,5550,0.0682220981329966,0.1482504604051565,0.9694794270690468,0.8429943586957374
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,France,0.2947302107913914,1.0,11.882143296348636,1.2704337111936446,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Germany,0.2880215872644786,1.0,11.58424333628329,1.2415833920203434,validation,47877,6516,0.1360987530547026,0.9205881738621884,0.8913973294831212,0.6619331742243437,0.8512891344383057,0.7447636949516648,0.8488714959954594,38528,2833,969,5547,0.068494475472063,0.1487108655616943,0.969061074399066,0.842231375330763
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Germany,0.2880215872644786,1.0,11.58424333628329,1.2415833920203434,test,10439,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439,0,0,0,0.0,0.0,,
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,India,0.2862583709662277,1.0,11.881567125516275,1.2572639457277257,validation,46375,5405,0.1165498652291105,0.925843665768194,0.8818228269731897,0.6415202994529225,0.8244218316373728,0.7215610072058942,0.8393934216740674,38480,2490,949,4456,0.0607761776909934,0.1755781683626271,0.9685430033076254,0.8196312711418478
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,India,0.2862583709662277,1.0,11.881567125516275,1.2572639457277257,test,20449,7406,0.3621692992322363,0.8764242750256737,0.8688730388023129,0.8216216216216217,0.8414798811774237,0.8314321926489227,0.8669454937846073,11690,1353,1174,6232,0.1037338035727976,0.1585201188225763,0.9521175144952,0.9171699999050492
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Indonesia,0.2928195287475559,1.0,11.878527025067648,1.2348005318639588,validation,47426,6281,0.1324379032598153,0.9284358790536836,0.8952148815928167,0.6852778847388011,0.8500238815475243,0.7588118249005117,0.8583982372831352,38693,2452,942,5339,0.0595941183618908,0.1499761184524757,0.972358885321925,0.8526071354479299
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Indonesia,0.2928195287475559,1.0,11.878527025067648,1.2348005318639588,test,13442,1568,0.1166493081386698,0.8704061895551257,0.6172190010415486,0.4189944134078212,0.2869897959183674,0.3406510219530658,0.6343961322124045,11250,624,1118,450,0.0525517938352703,0.7130102040816326,0.7698959289375173,0.3255112754625945
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Japan,0.2841141001219533,1.0000000000000002,11.87248490012886,1.259456323309898,validation,46054,6516,0.1414860815564337,0.9184001389672992,0.8937072830542054,0.6633886255924171,0.8592694904849602,0.7487296068467505,0.8500102824777096,36697,2841,917,5599,0.0718549243765491,0.1407305095150399,0.9681344835955344,0.8477361244070521
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Japan,0.2841141001219533,1.0000000000000002,11.87248490012886,1.259456323309898,test,22594,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594,0,0,0,0.0,0.0,,
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Mexico,0.2935839546587761,1.0,11.876817323512425,1.2203610374500269,validation,47555,6335,0.1332141730627694,0.9236673325622964,0.8905073436968054,0.6689569019362899,0.8453038674033149,0.7468619246861925,0.8509597477832349,38570,2650,980,5355,0.064289180009704,0.154696132596685,0.9708137385894388,0.8484297537929725
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Mexico,0.2935839546587761,1.0,11.876817323512425,1.2203610374500269,test,12584,1206,0.0958359821996185,0.9180705657978384,0.8346029126646606,0.5550660792951542,0.7313432835820896,0.6311270125223614,0.7925223405703927,10671,707,324,882,0.0621374582527685,0.2686567164179104,0.921266076892738,0.6077384806591251
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Nigeria,0.2955314035727023,1.0,11.901982019906852,1.2703665354012417,validation,47898,5913,0.1234498308906426,0.9247985302100296,0.8907738847805505,0.6502796202367018,0.8455944529003889,0.7351860020585208,0.8456814259751202,39296,2689,913,5000,0.0640466833392878,0.154405547099611,0.9703352817754948,0.8338640749431966
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Nigeria,0.2955314035727023,1.0,11.901982019906852,1.2703665354012417,test,10296,4021,0.3905400155400155,0.8537296037296037,0.8466792367956674,0.8116480793060719,0.8144740114399404,0.8130585898709036,0.8464622879156688,5515,760,746,3275,0.1211155378486055,0.1855259885600597,0.93090688229425,0.8994322456737226
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Pakistan,0.2949653130763454,1.0,11.890971104285391,1.252549877002478,validation,47748,5126,0.1073552818966239,0.9260073720365252,0.8929947308950938,0.6116954143878839,0.850955911041748,0.7117565472791059,0.8346562503091429,39853,2769,764,4362,0.0649664492515602,0.149044088958252,0.969616227127259,0.8081142088260136
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Pakistan,0.2949653130763454,1.0,11.890971104285391,1.252549877002478,test,11297,9269,0.8204833141542003,0.8820040718774896,0.7672684105551728,0.9130751613574848,0.9462725213075844,0.9293774834437086,0.7854738990222039,1193,835,498,8771,0.4117357001972386,0.0537274786924155,0.908783450933878,0.9776854477031216
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Philippines,0.2802830617861649,1.0,11.627708784252556,1.2122793838850916,validation,46397,6495,0.1399874991917581,0.9222794577235596,0.896034441425372,0.674519753533889,0.8595842956120092,0.7558895207148659,0.8548358936275362,37208,2694,912,5583,0.0675154127612651,0.1404157043879907,0.9706949906408496,0.8517648059536557
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Philippines,0.2802830617861649,1.0,11.627708784252556,1.2122793838850916,test,20306,142,0.0069930069930069,0.9509504579927116,0.7270630827216822,0.071285140562249,0.5,0.1247803163444639,0.5497742590994246,19239,925,71,71,0.0458738345566355,0.5,0.9102846098611108,0.0669663924554214
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Russia,0.294097751188251,1.0,11.875682923979,1.2233058042106608,validation,47641,6331,0.1328897378308599,0.9229865032220148,0.8908589396980373,0.6650545634920635,0.8471015637340072,0.7451198332754428,0.8498801287855325,38609,2701,968,5363,0.0653836843379327,0.1528984362659927,0.9698055290102104,0.8409381719988588
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Russia,0.294097751188251,1.0,11.875682923979,1.2233058042106608,test,12012,1231,0.1024808524808524,0.919080919080919,0.8761253795847329,0.5733711048158641,0.8220958570268074,0.6755674232309746,0.8146716705274143,10028,753,219,1012,0.0698450978573416,0.1779041429731925,0.9530455352486634,0.7574846777404318
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Saudi Arabia,0.2895420512984248,1.0000000000000002,11.646009063068242,1.226524440924116,validation,47834,6496,0.1358029853242463,0.9221683321486808,0.892429260330611,0.6672295259920396,0.8516009852216748,0.7482247920470684,0.8510971019495241,38579,2759,964,5532,0.0667424645604528,0.1483990147783251,0.9701735566006728,0.8445619393639626
extreme_abs_151_h1,xgboost,boosting,all_plus_local_normalization_domain_weighted_country_class_balanced,local,country_class_balanced,91,Saudi Arabia,0.2895420512984248,1.0000000000000002,11.646009063068242,1.226524440924116,test,10725,135,0.0125874125874125,0.950955710955711,0.5400430175217711,0.0378250591016548,0.1185185185185185,0.057347670250896,0.5160852844840542,10183,407,119,16,0.0384324834749763,0.8814814814814815,0.6855258279998601,0.0288409600714492
