target,split_name,feature_set,n_features,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,temporal_split,aqi_pollutants,51,random_forest,ensemble,validation,55320,7449,0.1346529284164859,0.9209869848156182,0.9113838529314414,0.6493594720496895,0.8982413746811653,0.7537880921534389,0.853365457576714,44258,3613,758,6691,0.0754736688182824,0.1017586253188347,0.9740611430158632,0.878030452307955
extreme_abs_151_h1,temporal_split,aqi_pollutants,51,random_forest,ensemble,test,53015,7061,0.1331887201735357,0.9202867113081205,0.9086514286556772,0.6450424639312391,0.8927913893216258,0.7489604372104075,0.8507908154929565,42485,3469,757,6304,0.0754885320102711,0.1072086106783741,0.9735158472697188,0.8725231441044463
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,logistic_regression,linear,train,221280,28930,0.1307393347794649,0.904094360086768,0.8943671659431607,0.5890521743148944,0.8811959903214656,0.7060990471969865,0.8243984025028869,174565,17785,3437,25493,0.0924616584351442,0.1188040096785344,0.9566110401028056,0.8159738785708304
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,logistic_regression,linear,validation,55320,7449,0.1346529284164859,0.9070318148951556,0.8991829952650049,0.6054894784995425,0.8884414015304067,0.720169758964035,0.8322128642209646,43559,4312,831,6618,0.0900754110003969,0.1115585984695932,0.9605362813913808,0.8344351738965864
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,logistic_regression,linear,test,53015,7061,0.1331887201735357,0.9105347543148166,0.9000296855416527,0.613738959764475,0.8857102393428693,0.7250594168454003,0.8358173102204226,42018,3936,807,6254,0.0856508682595639,0.1142897606571307,0.9607028689619528,0.831446014998645
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,train,221280,28930,0.1307393347794649,0.9345309110629068,0.942181407197226,0.6775589486366207,0.9525406152782578,0.7918564388442695,0.87650651355098,179236,13114,1373,27557,0.0681778008838055,0.0474593847217421,0.9862313022002772,0.9195293397039777
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,validation,55320,7449,0.1346529284164859,0.9211315979754158,0.911467410826618,0.6498640248640248,0.8982413746811653,0.7541279233586926,0.8535804587997511,44266,3605,758,6691,0.0753065530279292,0.1017586253188347,0.9743446049585552,0.8787481255891738
extreme_abs_151_h1,temporal_split,aqi_pollutants_meteorology,57,random_forest,ensemble,test,53015,7061,0.1331887201735357,0.9208714514759974,0.9103072056619712,0.6464336807684448,0.8959070953122787,0.750994242298332,0.8519780648267727,42494,3460,735,6326,0.0752926839883361,0.1040929046877212,0.9737138988091864,0.8731503636684239
extreme_abs_151_h3,random_split,all_features,64,logistic_regression,linear,train,227503,29901,0.131431233873839,0.8786345674562533,0.859333373030059,0.5240880212058737,0.8331493929968897,0.6434299735261833,0.785151002770677,174980,22622,4989,24912,0.1144826469367718,0.1668506070031102,0.9352146652598292,0.7445376357644893
extreme_abs_151_h3,random_split,all_features,64,logistic_regression,linear,validation,48751,6407,0.1314229451703555,0.8797358002912761,0.8606963841031963,0.5267874729170771,0.8348681130014047,0.6459754845721877,0.7867700034392795,37539,4805,1058,5349,0.1134753447950122,0.1651318869985953,0.9368720466240948,0.7408988921876623
extreme_abs_151_h3,random_split,all_features,64,logistic_regression,linear,test,48751,6407,0.1314229451703555,0.8763922791327358,0.8548640080689425,0.5186783017942935,0.8256594349929764,0.6371191135734072,0.7813142047297417,37435,4909,1117,5290,0.1159314188550916,0.1743405650070235,0.9361838956075196,0.7456059896650364
extreme_abs_151_h3,random_split,all_features,64,random_forest,ensemble,train,227503,29901,0.131431233873839,0.9433458020333798,0.9492497139122884,0.7114132325893523,0.9572589545500152,0.8162258501461467,0.8913683535153306,185991,11611,1278,28623,0.058759526725438,0.0427410454499849,0.988049015985672,0.9268361706404288
