target,model,model_family,feature_set,feature_regime,weighting_strategy,temperature,min_weight,max_weight,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Ethiopia,0.6408952341040894,1.0081993908213938,1.3103611091433134,0.1489024158640571,validation,47250,6288,0.133079365079365,0.9475978835978836,0.8672635776558502,0.8333333333333334,0.75779262086514,0.7937697817757787,0.8818777388525898,40009,953,1523,4765,0.0232654655534397,0.24220737913486,0.979497284798062,0.8947299159145573
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Ethiopia,0.6408952341040894,1.0081993908213938,1.3103611091433134,0.1489024158640571,test,10011,797,0.0796124263310358,0.90700229747278,0.6509005580128869,0.4023323615160349,0.3462986198243413,0.3722184760620364,0.6610000088385051,8804,410,521,276,0.0444975037985674,0.6537013801756587,0.9039247732502418,0.4212781981730805
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,France,0.4605621188117293,1.0100911304945257,1.3713146773363951,0.2574024099333513,validation,47038,6407,0.1362090224924529,0.943832645945831,0.8623795815792821,0.8217398735258931,0.7504292180427657,0.7844672866699298,0.8760880519003174,39588,1043,1599,4808,0.0256700548842017,0.2495707819572342,0.9772997289745832,0.8886407617315648
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,France,0.4605621188117293,1.0100911304945257,1.3713146773363951,0.2574024099333513,test,11421,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11421,0,0,0,0.0,0.0,,
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Germany,0.4430316887983987,1.0025434053097633,1.5676133634484877,0.2561942532723061,validation,47207,6407,0.1357213972504077,0.9442667401021037,0.8608571469012141,0.8261921216309606,0.7463711565475262,0.7842558425584256,0.876127969929768,39794,1006,1625,4782,0.024656862745098,0.2536288434524739,0.9772079366318088,0.8872043715315044
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Germany,0.4430316887983987,1.0025434053097633,1.5676133634484877,0.2561942532723061,test,10293,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10293,0,0,0,0.0,0.0,,
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,India,0.8096285504293704,0.9972151634118264,1.242437378132992,0.1165101781412928,validation,45727,5316,0.1162551665318083,0.9495921446847596,0.8564711379142145,0.8133194588969823,0.7351392024078255,0.7722557059579093,0.8719577129373971,39514,897,1408,3908,0.0221969265793967,0.2648607975921745,0.9782062180731808,0.876903838539578
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,India,0.8096285504293704,0.9972151634118264,1.242437378132992,0.1165101781412928,test,20163,7276,0.3608589991568715,0.855825026037792,0.8300342506499063,0.8434208457789656,0.7373556899395272,0.786829947935763,0.8389543347532238,11891,996,1911,5365,0.0772871886397144,0.2626443100604728,0.9408197680834888,0.8971616527516364
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Indonesia,0.5539725817496064,1.0150545904474082,1.2358704665609153,0.1770395299173607,validation,46763,6172,0.1319846887496525,0.9490836772662148,0.8752562391795378,0.8282251082251082,0.7749513933895009,0.8007031053821043,0.8857583362995789,39599,992,1389,4783,0.0244389150304254,0.225048606610499,0.98090097854747,0.8999024448606924
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Indonesia,0.5539725817496064,1.0150545904474082,1.2358704665609153,0.1770395299173607,test,13254,1568,0.1183039082541119,0.8713595895578693,0.5071145767480362,0.2034632034632034,0.0299744897959183,0.0522512506948304,0.4916240267396205,11502,184,1521,47,0.0157453362998459,0.9700255102040816,0.6537216824946648,0.2034071005816349
