target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,Japan,f1,0.69,validation_selected,0.69,46054.0,6516.0,0.1414860815564337,0.9407000477700092,0.8840716785937119,0.7821678842999851,0.8050951503990178,0.7934659305755124,0.8794229570479134,38077.0,1461.0,1270.0,5246.0,0.0369517932115939,0.1949048496009822,0.9742295730232996,0.8822165089435199,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Japan,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,22594.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,Japan,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,22594.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22594.0,0.0,0.0,0.0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,Mexico,f1,0.71,validation_selected,0.71,47555.0,6335.0,0.1332141730627694,0.9444432762064976,0.8816512891918813,0.7888315344908494,0.7960536700868193,0.7924261470773099,0.8801780173370575,39870.0,1350.0,1292.0,5043.0,0.0327510917030567,0.2039463299131807,0.9766030390378384,0.8815189363337483,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Mexico,f1,0.71,test_calibrated,,,,,,,,,,,,,,,,,,,12584.0,1206.0,0.0958359821996185,0.9229179910998092,0.7676014665058722,0.6024305555555556,0.5754560530679934,0.5886344359626803,0.7730546138603406,10920.0,458.0,512.0,694.0,0.0402531200562489,0.4245439469320066,0.902472170698625,0.6067048220351441
extreme_abs_151_h1,random_forest,ensemble,Mexico,f1,0.71,test_default_threshold,,,,,,,,,,,,,,,,,,,12584.0,1206.0,0.0958359821996185,0.905276541640178,0.8568091458101769,0.5036687631027253,0.796849087893864,0.6172125883108542,0.7815817181147996,10431.0,947.0,245.0,961.0,0.0832307962735102,0.2031509121061359,0.902472170698625,0.6067048220351441
extreme_abs_151_h1,random_forest,ensemble,Nigeria,f1,0.7,validation_selected,0.7,47898.0,5913.0,0.1234498308906426,0.9439433796818238,0.8755402967900582,0.7666886979510905,0.7847116522915609,0.7755954868366067,0.8717833811895336,40573.0,1412.0,1273.0,4640.0,0.0336310587114445,0.215288347708439,0.975261380526144,0.8701517682916616,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Nigeria,f1,0.7,test_calibrated,,,,,,,,,,,,,,,,,,,10296.0,4021.0,0.3905400155400155,0.839063714063714,0.8359873413582675,0.7783796514366462,0.8219348420790848,0.7995645336881577,0.8325611715093932,5334.0,941.0,716.0,3305.0,0.1499601593625498,0.1780651579209152,0.9095995822727492,0.8672387705191863
extreme_abs_151_h1,random_forest,ensemble,Nigeria,f1,0.7,test_default_threshold,,,,,,,,,,,,,,,,,,,10296.0,4021.0,0.3905400155400155,0.7941919191919192,0.8142270014693773,0.6767001114827201,0.9057448395921412,0.7746463894501755,0.7926319801393339,4535.0,1740.0,379.0,3642.0,0.2772908366533864,0.0942551604078587,0.9095995822727492,0.8672387705191863
extreme_abs_151_h1,random_forest,ensemble,Pakistan,f1,0.67,validation_selected,0.67,47748.0,5126.0,0.1073552818966239,0.941693892937924,0.873549482971404,0.7045772187281621,0.7867733125243855,0.7434101382488479,0.8552601101186824,40931.0,1691.0,1093.0,4033.0,0.0396743465815775,0.2132266874756145,0.97156103112091,0.8308735527233048,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Pakistan,f1,0.67,test_calibrated,,,,,,,,,,,,,,,,,,,11297.0,9269.0,0.8204833141542003,0.8892626360980791,0.7659136050413426,0.9112638489946656,0.958355809688208,0.9342167534311404,0.7922411695587349,1163.0,865.0,386.0,8883.0,0.4265285996055227,0.0416441903117919,0.900593333209913,0.9740006523860508
extreme_abs_151_h1,random_forest,ensemble,Pakistan,f1,0.67,test_default_threshold,,,,,,,,,,,,,,,,,,,11297.0,9269.0,0.8204833141542003,0.8912100557670178,0.7170230379179565,0.89067055393586,0.9887798036465638,0.9371644767114884,0.7661110686687589,903.0,1125.0,104.0,9165.0,0.5547337278106509,0.0112201963534361,0.900593333209913,0.9740006523860508
extreme_abs_151_h1,random_forest,ensemble,Philippines,f1,0.69,validation_selected,0.69,46397.0,6495.0,0.1399874991917581,0.9401254391447724,0.8848830288556463,0.7740746202624982,0.8081601231716705,0.7907502259716782,0.8779073698333453,38370.0,1532.0,1246.0,5249.0,0.0383940654603779,0.1918398768283294,0.9758121408227678,0.8818719376662267,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Philippines,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,20306.0,142.0,0.0069930069930069,0.9922682950851964,0.5066207101765523,0.1052631578947368,0.0140845070422535,0.0248447204968944,0.5104817407334785,20147.0,17.0,140.0,2.0,0.0008430866891489,0.9859154929577464,0.8844374020357016,0.0503585225588501
extreme_abs_151_h1,random_forest,ensemble,Philippines,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,20306.0,142.0,0.0069930069930069,0.984339604057914,0.5445844078555843,0.0686274509803921,0.0985915492957746,0.0809248554913294,0.5365136868724715,19974.0,190.0,128.0,14.0,0.0094227335846062,0.9014084507042254,0.8844374020357016,0.0503585225588501
