target,held_out_country,feature,permutation_importance_mean,permutation_importance_std,sample_rows,repeats
extreme_abs_151_h3,China,is_dec_feb,-0.0006653986835204831,0.00045719029658090757,8000,3
extreme_abs_151_h3,China,PM10_roll_std_3,-0.0006959184599538334,0.0006089175756588881,8000,3
extreme_abs_151_h3,China,AQI_roll_std_3,-0.0007675154374960543,0.00042560985558457327,8000,3
extreme_abs_151_h3,China,NOx (ppb),-0.0010858939583573795,0.0001691005469444509,8000,3
extreme_abs_151_h3,China,Population_Density_per_SqKm,-0.001708224217709109,0.0021180031011011654,8000,3
extreme_abs_151_h3,China,Humidity_city_past_anomaly,-0.001749876134668371,0.0007198905357592517,8000,3
extreme_abs_151_h3,China,PM25_roll_std_3,-0.0018750061006973147,0.0007577483816826954,8000,3
extreme_abs_151_h3,China,SO2_lag_1,-0.0028788594411198,0.0005143683782340024,8000,3
extreme_abs_151_h3,China,NO (ug/m3),-0.00469112347712608,0.0026659392972637292,8000,3
extreme_abs_151_h3,China,CO2_Emission_MT,-0.01318484749873198,0.00022854060094301348,8000,3
