dataset,target,model,configuration,evaluations,countries,rows,mean_event_rate,mean_pr_auc,mean_f1,mean_recall,mean_precision,mean_false_alarm_rate
waqd2024,PM10_p95_rel_p90_h1,xgboost,Country-class balanced,14,14,227,0.1749407999407999,0.3402635278270169,0.1833333333333333,0.3311688311688311,0.1389355742296918,0.1904004096948348
waqd2024,PM10_p95_rel_p90_h1,xgboost,Local features,14,14,227,0.1749407999407999,0.348847580421489,0.0680272108843537,0.0595238095238095,0.0892857142857142,0.0293367346938775
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,Base,9,9,174,0.1554565260447613,0.3639371778368824,0.2222462722462722,0.3111111111111111,0.1895807895807895,0.304851490131764
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,Country-class balanced,9,9,174,0.1554565260447613,0.3584978778032431,0.1694451059776137,0.2981481481481481,0.1231481481481481,0.3221339430154149
waqd2024,PM10_p95_rel_p90_h3,logistic_regression,Local features,9,9,174,0.1554565260447613,0.3408700606391261,0.2129629629629629,0.2944444444444444,0.1835923335923336,0.2610038141702668
waqd2024,PM10_p95_rel_p90_h3,random_forest,Base,9,9,174,0.1554565260447613,0.322667653276897,0.162037037037037,0.25,0.1564814814814814,0.2495782399505121
waqd2024,PM10_p95_rel_p90_h3,random_forest,Country-class balanced,9,9,174,0.1554565260447613,0.4498017621262905,0.1863586705691969,0.3222222222222222,0.1398015873015873,0.4052172332018288
waqd2024,PM10_p95_rel_p90_h3,random_forest,Local features,9,9,174,0.1554565260447613,0.3961551410774099,0.1339225589225589,0.2,0.1907203907203907,0.2060717773169634
waqd2024,PM10_p95_rel_p90_h3,xgboost,Base,9,9,174,0.1554565260447613,0.3665048536897276,0.0,0.0,0.0,0.037037037037037
waqd2024,PM10_p95_rel_p90_h3,xgboost,Country-class balanced,9,9,174,0.1554565260447613,0.4131594639411736,0.1397823261858349,0.2611111111111111,0.1029439696106362,0.2450627472022423
waqd2024,PM10_p95_rel_p90_h3,xgboost,Local features,9,9,174,0.1554565260447613,0.4646943625935223,0.0,0.0,0.0,0.037037037037037
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Base,11,11,217,0.1450020053488953,0.2913240590562065,0.1325358851674641,0.1621212121212121,0.1568793525315264,0.2838842975206611
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Country-class balanced,11,11,217,0.1450020053488953,0.243060141426231,0.1704665704665704,0.3833333333333333,0.1231811118174754,0.4023645546372819
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Local features,11,11,217,0.1450020053488953,0.2501614066186124,0.1592056932966024,0.3090909090909091,0.2103896103896103,0.3522956841138659
waqd2024,PM25_p95_rel_p90_h1,random_forest,Base,11,11,217,0.1450020053488953,0.2853179291482708,0.1625319125319125,0.1803030303030303,0.1893939393939394,0.156198347107438
waqd2024,PM25_p95_rel_p90_h1,random_forest,Country-class balanced,11,11,217,0.1450020053488953,0.2483220140799349,0.1874347377146929,0.4666666666666666,0.1314707388571024,0.427961432506887
waqd2024,PM25_p95_rel_p90_h1,random_forest,Local features,11,11,217,0.1450020053488953,0.2996727753203527,0.1173998044965787,0.1075757575757575,0.1590909090909091,0.1334251606978879
waqd2024,PM25_p95_rel_p90_h1,xgboost,Base,11,11,217,0.1450020053488953,0.215862326973438,0.0,0.0,0.0,0.005050505050505
waqd2024,PM25_p95_rel_p90_h1,xgboost,Country-class balanced,11,11,217,0.1450020053488953,0.258963065980287,0.117697714471908,0.1424242424242424,0.1011363636363636,0.1786730945821854
waqd2024,PM25_p95_rel_p90_h1,xgboost,Local features,11,11,217,0.1450020053488953,0.2941915851638074,0.0,0.0,0.0,0.0101010101010101
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,Base,10,10,194,0.191383314707961,0.3791612886850775,0.3056055056055056,0.3666666666666666,0.3253968253968254,0.3046978021978022
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,Country-class balanced,10,10,194,0.191383314707961,0.3761653898366999,0.2093650793650793,0.2666666666666666,0.2576190476190476,0.306468253968254
waqd2024,PM25_p95_rel_p90_h3,logistic_regression,Local features,10,10,194,0.191383314707961,0.3903245818920102,0.2564835164835164,0.3083333333333333,0.2922222222222222,0.3393452380952381
waqd2024,PM25_p95_rel_p90_h3,random_forest,Base,10,10,194,0.191383314707961,0.3910705168211863,0.1769813519813519,0.3178571428571428,0.1933627752176139,0.3852472527472527
waqd2024,PM25_p95_rel_p90_h3,random_forest,Country-class balanced,10,10,194,0.191383314707961,0.3842412442235774,0.1847496947496947,0.2392857142857142,0.2309523809523809,0.2450274725274725
waqd2024,PM25_p95_rel_p90_h3,random_forest,Local features,10,10,194,0.191383314707961,0.3664325406703426,0.168070818070818,0.2821428571428571,0.2021212121212121,0.3251923076923076
waqd2024,PM25_p95_rel_p90_h3,xgboost,Base,10,10,194,0.191383314707961,0.340555074320897,0.05,0.0333333333333333,0.1,0.0142857142857142
waqd2024,PM25_p95_rel_p90_h3,xgboost,Country-class balanced,10,10,194,0.191383314707961,0.2617931689396051,0.1632253711201079,0.2630952380952381,0.1306818181818181,0.2818513431013431
waqd2024,PM25_p95_rel_p90_h3,xgboost,Local features,10,10,194,0.191383314707961,0.3702871478029705,0.05,0.0333333333333333,0.1,0.0142857142857142
