scenario,dataset,target,model,model_family,feature_regime,weighting_strategy,evaluations,countries,rows,events,mean_event_rate,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_false_alarm_rate,mean_missed_event_rate,mean_roc_auc,mean_pr_auc,pooled_event_rate
all_eligible,waqd2024,PM25_p95_rel_p90_h3,random_forest,ensemble,local,none,10,10,194,36,0.19138331470796102,0.6093427436921479,0.4784752747252747,0.2021212121212121,0.28214285714285714,0.16807081807081808,0.41870830669457665,0.32519230769230767,0.7178571428571429,0.6008836996336997,0.36643254067034253,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,base,none,10,10,194,36,0.19138331470796102,0.8052075943829481,0.5095238095238095,0.1,0.03333333333333333,0.05,0.4692895095100977,0.01428571428571428,0.9666666666666666,0.4998611111111111,0.34055507432089704,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,10,10,194,36,0.19138331470796102,0.6351393895465005,0.49062194749694743,0.13068181818181818,0.2630952380952381,0.16322537112010796,0.45566879843582625,0.2818513431013431,0.7369047619047618,0.3800442612942613,0.2617931689396051,0.18556701030927836
all_eligible,waqd2024,PM25_p95_rel_p90_h3,xgboost,boosting,local,none,10,10,194,36,0.19138331470796102,0.8052075943829481,0.5095238095238095,0.1,0.03333333333333333,0.05,0.4692895095100977,0.01428571428571428,0.9666666666666666,0.4332142857142857,0.37028714780297056,0.18556701030927836
minimum_support,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,5,5,126,25,0.20730769230769228,0.6718205128205128,0.5104957237884067,0.23666666666666666,0.22787878787878788,0.2152136752136752,0.5024384287798922,0.20688734030197437,0.7721212121212121,0.4704557772850456,0.29815134809317356,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,5,5,126,25,0.20730769230769228,0.5487948717948717,0.47829004329004327,0.1892156862745098,0.35515151515151516,0.2116489961651252,0.41177044402850854,0.3985714285714285,0.6448484848484848,0.4871165311653116,0.321783551010884,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,5,5,126,25,0.20730769230769228,0.6939230769230769,0.5325715341569,0.33666666666666667,0.24606060606060604,0.24002849002849,0.5217400192400192,0.18091753774680602,0.7539393939393939,0.4601966705381339,0.32386690948783803,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,5,5,126,25,0.20730769230769228,0.6849487179487179,0.5403067257945307,0.1638095238095238,0.2727272727272727,0.2028888888888889,0.5011958533730685,0.19211382113821135,0.7272727272727273,0.5715951149121881,0.3582784973265857,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,5,5,126,25,0.20730769230769228,0.386,0.5172590011614402,0.20622222222222222,0.7333333333333333,0.31464322483566953,0.36635457772986985,0.6988153310104529,0.26666666666666666,0.5248534825607997,0.36479240502904214,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,5,5,126,25,0.20730769230769228,0.679948717948718,0.5719586104951958,0.181547619047619,0.35757575757575755,0.2385185185185185,0.5146853244221665,0.21365853658536582,0.6424242424242423,0.6355643543448422,0.34758171148988226,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,5,5,126,25,0.20730769230769228,0.7926923076923077,0.5,0.0,0.0,0.0,0.44163609529833436,0.0,1.0,0.6208412698412699,0.3545644616821087,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,5,5,126,25,0.20730769230769228,0.5853333333333334,0.48732921549994723,0.0853146853146853,0.296969696969697,0.13181818181818183,0.41810606060606065,0.32231126596980253,0.703030303030303,0.4640908035054376,0.3177322969543908,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,5,5,126,25,0.20730769230769228,0.7926923076923077,0.5,0.0,0.0,0.0,0.44163609529833436,0.0,1.0,0.6366349206349207,0.37296128707893417,0.1984126984126984
minimum_support,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,5,5,118,25,0.22296854668640909,0.6519127742630232,0.6050889014142242,0.34705882352941175,0.5133333333333333,0.368999518999519,0.560650906598275,0.30315553050488486,0.4866666666666667,0.6224377718567101,0.39193868874092963,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,5,5,118,25,0.22296854668640909,0.6224839592587607,0.5524047789847646,0.19444444444444445,0.4133333333333333,0.25142857142857145,0.49007467206955696,0.30852377536380404,0.5866666666666667,0.6220316663250667,0.3993608527765286,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,5,5,118,25,0.22296854668640909,0.6717826535648583,0.5776905274304843,0.2015873015873016,0.4,0.26095238095238094,0.5165934065934066,0.2446189451390312,0.6,0.6112397804650315,0.388446110773507,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,5,5,118,25,0.22296854668640909,0.6641459146587697,0.5532065997130559,0.2219607843137255,0.32666666666666666,0.25606060606060604,0.5178691376237015,0.22025346724055472,0.6733333333333332,0.6004018924643028,0.31371634282138644,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,5,5,118,25,0.22296854668640909,0.5247713913940861,0.6249991459998634,0.2769607843137255,0.8,0.395632183908046,0.46497337911131015,0.5500017080002733,0.2,0.62191893830703,0.3661753961479605,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,5,5,118,25,0.22296854668640909,0.6478673666262844,0.5528879722620756,0.225,0.33999999999999997,0.2230769230769231,0.4938818333369417,0.23422405547584887,0.6599999999999999,0.6517563366810138,0.36602518567964787,0.211864406779661
minimum_support,openaq,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,5,5,118,25,0.22296854668640909,0.7770314533135909,0.5,0.0,0.0,0.0,0.4368008362765396,0.0,1.0,0.6170634920634921,0.32543368388838845,0.211864406779661
