dataset,feature,group,missing_rows,missing_rate
openaq,CO_units_count,other,572,0.5813008130081301
openaq,CO_value_count,pollutant,572,0.5813008130081301
openaq,CO_value_max,pollutant,572,0.5813008130081301
openaq,CO_value_mean,pollutant,572,0.5813008130081301
openaq,CO_value_median,pollutant,572,0.5813008130081301
openaq,CO_value_p90,pollutant,572,0.5813008130081301
openaq,CO_value_p95,pollutant,572,0.5813008130081301
openaq,PM10_value_p95_roll_std_3,rolling,549,0.5579268292682927
openaq,SO2_cities_count,other,533,0.5416666666666666
openaq,SO2_locations_count,other,533,0.5416666666666666
openaq,SO2_sources_count,other,533,0.5416666666666666
openaq,SO2_units_count,other,533,0.5416666666666666
openaq,SO2_value_count,pollutant,533,0.5416666666666666
openaq,SO2_value_max,pollutant,533,0.5416666666666666
openaq,SO2_value_mean,pollutant,533,0.5416666666666666
openaq,SO2_value_median,pollutant,533,0.5416666666666666
openaq,SO2_value_p90,pollutant,533,0.5416666666666666
openaq,SO2_value_p95,pollutant,533,0.5416666666666666
openaq,O3_cities_count,other,471,0.47865853658536583
openaq,O3_locations_count,other,471,0.47865853658536583
openaq,O3_sources_count,other,471,0.47865853658536583
openaq,O3_units_count,other,471,0.47865853658536583
openaq,O3_value_count,pollutant,471,0.47865853658536583
openaq,O3_value_max,pollutant,471,0.47865853658536583
openaq,O3_value_mean,pollutant,471,0.47865853658536583
openaq,O3_value_median,pollutant,471,0.47865853658536583
openaq,O3_value_p90,pollutant,471,0.47865853658536583
openaq,O3_value_p95,pollutant,471,0.47865853658536583
openaq,PM25_cities_count,other,465,0.4725609756097561
openaq,PM25_locations_count,other,465,0.4725609756097561
openaq,PM25_sources_count,other,465,0.4725609756097561
openaq,PM25_units_count,other,465,0.4725609756097561
openaq,PM25_value_count,pollutant,465,0.4725609756097561
openaq,PM25_value_max,pollutant,465,0.4725609756097561
openaq,PM25_value_mean,pollutant,465,0.4725609756097561
openaq,PM25_value_median,pollutant,465,0.4725609756097561
openaq,PM25_value_p90,pollutant,465,0.4725609756097561
openaq,PM25_value_p95,pollutant,465,0.4725609756097561
openaq,PM10_cities_count,other,457,0.4644308943089431
openaq,PM10_locations_count,other,457,0.4644308943089431
openaq,PM10_sources_count,other,457,0.4644308943089431
openaq,PM10_units_count,other,457,0.4644308943089431
openaq,PM10_value_count,pollutant,457,0.4644308943089431
openaq,PM10_value_max,pollutant,457,0.4644308943089431
openaq,PM10_value_mean,pollutant,457,0.4644308943089431
openaq,PM10_value_median,pollutant,457,0.4644308943089431
openaq,PM10_value_p90,pollutant,457,0.4644308943089431
openaq,PM10_value_p95,pollutant,457,0.4644308943089431
openaq,NO2_cities_count,other,434,0.4410569105691057
openaq,NO2_locations_count,other,434,0.4410569105691057
openaq,NO2_sources_count,other,434,0.4410569105691057
openaq,NO2_units_count,other,434,0.4410569105691057
openaq,NO2_value_count,pollutant,434,0.4410569105691057
openaq,NO2_value_max,pollutant,434,0.4410569105691057
openaq,NO2_value_mean,pollutant,434,0.4410569105691057
openaq,NO2_value_median,pollutant,434,0.4410569105691057
openaq,NO2_value_p90,pollutant,434,0.4410569105691057
openaq,NO2_value_p95,pollutant,434,0.4410569105691057
openaq,PM25_value_p95_roll_max_3,rolling,371,0.37703252032520324
openaq,PM25_value_p95_roll_mean_3,rolling,371,0.37703252032520324
openaq,PM10_value_p95_roll_max_3,rolling,276,0.2804878048780488
openaq,PM10_value_p95_roll_mean_3,rolling,276,0.2804878048780488
openaq,NO2_value_p95_country_history_count,local_normalized,0,0.0
openaq,O3_value_p95_country_history_count,local_normalized,0,0.0
openaq,PM10_value_p95_country_history_count,local_normalized,0,0.0
openaq,PM25_value_p95_country_history_count,local_normalized,0,0.0
openaq,month,calendar,0,0.0
openaq,month_cos,calendar,0,0.0
openaq,month_sin,calendar,0,0.0
openaq,observed_pollutants,coverage,0,0.0
openaq,quarter,calendar,0,0.0
openaq,time_index_months,calendar,0,0.0
openaq,total_cities,coverage,0,0.0
openaq,total_locations,coverage,0,0.0
openaq,total_records,coverage,0,0.0
openaq,total_sources,coverage,0,0.0
openaq,year,calendar,0,0.0
