dataset,target,model,model_family,feature_regime,weighting_strategy,countries__all_eligible,countries__minimum_support,events__all_eligible,events__minimum_support,mean_f1__all_eligible,mean_f1__minimum_support,mean_false_alarm_rate__all_eligible,mean_false_alarm_rate__minimum_support,mean_pr_auc__all_eligible,mean_pr_auc__minimum_support,mean_precision__all_eligible,mean_precision__minimum_support,mean_recall__all_eligible,mean_recall__minimum_support,rows__all_eligible,rows__minimum_support,delta_pr_auc_filtered_minus_all,delta_f1_filtered_minus_all,delta_recall_filtered_minus_all
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,7,5,28,25,0.3462585034013605,0.25142857142857145,0.24775507764081242,0.30852377536380404,0.5154164821419649,0.3993608527765286,0.28174603174603174,0.19444444444444445,0.5095238095238095,0.4133333333333333,144,118,-0.11605562936543629,-0.09482993197278905,-0.09619047619047622
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,7,5,28,25,0.2578231292517007,0.26095238095238094,0.20210877033740324,0.2446189451390312,0.4024615076953622,0.388446110773507,0.21541950113378686,0.2015873015873016,0.35714285714285715,0.4,144,118,-0.014015396921855217,0.0031292517006802356,0.04285714285714287
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,7,5,28,25,0.1829004329004329,0.25606060606060604,0.17518104802896767,0.22025346724055472,0.2742531700424869,0.31371634282138644,0.1585434173669468,0.2219607843137255,0.23333333333333334,0.32666666666666666,144,118,0.03946317277889955,0.07316017316017315,0.09333333333333332
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,7,5,28,25,0.2825944170771757,0.395632183908046,0.5333345533335285,0.5500017080002733,0.3115538543914003,0.3661753961479605,0.19782913165266106,0.2769607843137255,0.5714285714285714,0.8,144,118,0.0546215417565602,0.1130377668308703,0.22857142857142865
openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,7,5,28,25,0.15934065934065936,0.2230769230769231,0.1673028967684635,0.23422405547584887,0.31807921426097296,0.36602518567964787,0.16071428571428573,0.225,0.24285714285714285,0.33999999999999997,144,118,0.047945971418674904,0.06373626373626373,0.09714285714285711
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,7,5,28,25,0.0,0.0,0.0,0.0,0.2800716789678965,0.32543368388838845,0.0,0.0,0.0,0.0,144,118,0.04536200492049197,0.0,0.0
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,7,5,28,25,0.2619047619047619,0.3666666666666667,0.2034228325476532,0.25979196556671447,0.5120194329896284,0.6579383172965908,0.2774725274725275,0.38846153846153847,0.380952380952381,0.5333333333333334,144,118,0.14591888430696243,0.10476190476190478,0.15238095238095245
openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,none,7,5,28,25,0.0,0.0,0.0,0.0,0.2555460792543268,0.2910978442893909,0.0,0.0,0.0,0.0,144,118,0.035551765035064076,0.0,0.0
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,8,2,25,18,0.12152777777777778,0.3611111111111111,0.30399912587412586,0.1893939393939394,0.20863797936954478,0.3560571036175827,0.16666666666666666,0.5833333333333333,0.14583333333333331,0.3333333333333333,168,94,0.1474191242480379,0.23958333333333331,0.1875
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,8,2,25,18,0.20656028368794327,0.3262411347517731,0.443006993006993,0.5848484848484848,0.2469409565089871,0.22659493508304218,0.1695675105485232,0.2616033755274262,0.35416666666666663,0.6666666666666666,168,94,-0.02034602142594491,0.11968085106382981,0.3125
openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,8,2,25,18,0.11527777777777778,0.25,0.28090034965034966,0.00757575757575755,0.2226586480395705,0.3547020935353222,0.15674603174603174,0.5,0.22916666666666666,0.16666666666666666,168,94,0.13204344549575173,0.13472222222222222,-0.0625
openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,8,2,25,18,0.18988095238095237,0.34285714285714286,0.21934003496503493,0.2090909090909091,0.3139172321150539,0.3943271955195718,0.1840277777777778,0.3611111111111111,0.21666666666666667,0.3666666666666667,168,94,0.08040996340451789,0.1529761904761905,0.15000000000000002
openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,8,2,25,18,0.16473937708877467,0.31047265987025024,0.5446314102564103,0.8166666666666667,0.289893126612857,0.29180848282753924,0.10792483660130718,0.19558823529411762,0.37916666666666665,0.7666666666666666,168,94,0.0019153562146822511,0.14573328278147557,0.38749999999999996
