dataset,Country,country_months,min_month,max_month,total_records,mean_records_per_month,mean_observed_pollutants,months_with_pm25,months_with_pm10
waqd2024,Qatar,1,2023-06-01,2023-06-01,2,2.0,2.0,1,0
waqd2024,Senegal,1,2024-03-01,2024-03-01,2,2.0,2.0,1,1
waqd2024,Serbia and Montenegro,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Singapore,1,2015-09-01,2015-09-01,1,1.0,1.0,1,0
waqd2024,Sri Lanka,1,2024-03-01,2024-03-01,1,1.0,1.0,1,0
waqd2024,"Sudan, The Republic of",1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Tajikistan,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Trinidad and Tobago,1,2023-05-01,2023-05-01,28,28.0,6.0,1,1
waqd2024,USSR,1,2023-05-01,2023-05-01,1,1.0,1.0,1,0
waqd2024,Uzbekistan,1,2023-05-01,2023-05-01,2,2.0,2.0,1,0
waqd2024,West Bank and Gaza Strip,3,2018-01-01,2019-04-01,44,14.666666666666666,3.6666666666666665,0,0
waqd2024,Gibraltar,1,2018-04-01,2018-04-01,6,6.0,4.0,0,0
