Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources
AU,Australia,2021-04-01,2.0,1.0,,2.0,3.0,1.0,2.0,1.0,,2.0,4.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,4.0,1.0,0.39,0.022,,27.0,7.0,0.002,0.3,0.022,,22.25,5.65,0.002,0.3,0.022,,22.25,5.8,0.002,0.372,0.022,,26.05,6.88,0.002,0.381,0.022,,26.525,6.9399999999999995,0.002,0.12727922061357858,,,6.7175144212722016,1.398809017223819,,10,5,10,9,7
AU,Australia,2021-05-01,,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,2.23,,,,,,1.115,,,,,,1.115,,,,,,2.007,,,,,,2.1185,,,,,,1.5768481220460009,,2,1,2,0,1
AU,Australia,2021-07-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,3.51,,,,,,3.51,,,,,,3.51,,,,,,3.51,,,,,,3.51,,,,,,,,1,1,1,0,1
AU,Australia,2021-08-01,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,9.4,,,,,,9.4,,,,,,9.4,,,,,,9.4,,,,,,9.4,,,,,,,,,1,1,1,0,1
AU,Australia,2021-09-01,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,0.0,0.029,6.7,5.8,0.0,,0.0,0.029,4.6,2.9,0.0,,0.0,0.029,4.6,2.9,0.0,,0.0,0.029,6.28,5.22,0.0,,0.0,0.029,6.49,5.51,0.0,,,,2.9698484809835,4.1012193308819755,,7,5,7,0,5
AU,Australia,2021-11-01,,,0.0,,0.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,0.011,,3.7,,,,0.011,,3.7,,,,0.011,,3.7,,,,0.011,,3.7,,,,0.011,,3.7,,,,,,,,2,2,2,0,2
AU,Australia,2021-12-01,,,0.0,0.0,0.0,,,,8.0,22.0,20.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,8.0,22.0,20.0,,,,0.02,22.7,5.6,,,,0.016,11.60909090909091,4.14,,,,0.016,11.45,4.2,,,,0.0193,15.120000000000001,5.31,,,,0.01965,16.055,5.41,,,,0.0032071349029490926,3.8580662675329105,1.0698745622489434,,50,3,50,0,3
AU,Australia,2022-02-01,,,,0.0,0.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,2.0,,,,,14.25,5.2,,,,,14.25,2.85,,,,,14.25,2.85,,,,,14.25,4.73,,,,,14.25,4.965,,,,,,3.3234018715767735,,3,2,3,0,2
AU,Australia,2022-03-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,9.13,,,,,,9.13,,,,,,9.13,,,,,,9.13,,,,,,9.13,,,,,,,,1,1,1,0,1
AU,Australia,2022-04-01,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,11.32,,,,,,11.32,,,,,,11.32,,,,,,11.32,,,,,,11.32,,,,,,,,,1,1,1,1,1
